protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
jgi|Aurli1|42509|fgenesh1_kg.2_#_237_#_isotig06094,jgi|Aurli1|42509|fgenesh1_kg.2_#_237_#_isotig06094,1087541.691,1064931.647,804773.4183,1015000,1065169.122,762509.4501,865378.5035,890435.9059,647499.487,901445.5682,938325.05,653382.6765,850710.3015,898957.1235,619502.6962
jgi|Aurli1|42510|fgenesh1_kg.2_#_238_#_isotig04530,jgi|Aurli1|42510|fgenesh1_kg.2_#_238_#_isotig04530,1059343.275,977619.2053,1029682.273,1237000,1159879.293,1168067.936,1190999.562,1105552.645,1065193.539,1071254.076,1064911.311,1030108.989,1053407.608,1006663.104,970673.7799
jgi|Aurli1|42511|fgenesh1_kg.2_#_239_#_isotig08032,jgi|Aurli1|42511|fgenesh1_kg.2_#_239_#_isotig08032,17224.45135,106418.4589,151763.7181,28781,124463.5533,147809.6314,34080.3307,162407.2009,212138.4809,51605.94584,183336.6738,217319.9418,61135.01834,185219.8138,252001.2922
jgi|Aurli1|42521|fgenesh1_kg.2_#_249_#_isotig00810,jgi|Aurli1|42521|fgenesh1_kg.2_#_249_#_isotig00810,3764147.081,2932857.616,410464.1879,4512100,3728978.912,499903.329,4306114.774,3598252.966,409862.0778,3985020.597,3230887.088,392189.5297,3840544.493,3099391.364,392377.464
jgi|Aurli1|42525|fgenesh1_kg.2_#_253_#_isotig06921,jgi|Aurli1|42525|fgenesh1_kg.2_#_253_#_isotig06921,1746935.801,992653.7542,1194538.03,1805300,1083007.354,1435217.577,2374654.433,1531243.66,1983537.557,2151015.794,1513310.877,1930373.986,2025603.223,1377819.286,1674434.471
jgi|Aurli1|42531|fgenesh1_kg.2_#_259_#_isotig06572,jgi|Aurli1|42531|fgenesh1_kg.2_#_259_#_isotig06572,213673.7439,59408.87976,124285.9156,141890,46414.88248,111592.7857,138041.5266,33704.70105,121091.7777,127209.5225,26858.78253,104741.8385,135721.8738,25532.60169,113899.3713
jgi|Aurli1|42533|fgenesh1_kg.2_#_261_#_isotig03203,jgi|Aurli1|42533|fgenesh1_kg.2_#_261_#_isotig03203,607417.3058,660147.4303,757071.5108,467880,491615.7599,689731.799,370462.3272,476270.6847,643065.8693,363296.6218,453149.6894,645598.1518,360023.5271,445890.9446,609780.6199
jgi|Aurli1|42546|fgenesh1_kg.2_#_274_#_isotig08370,jgi|Aurli1|42546|fgenesh1_kg.2_#_274_#_isotig08370,461361.2178,504992.7537,309940.7663,440560,451809.8931,226455.5108,391124.1015,565169.1427,214535.3352,435621.7174,500791.5157,249422.2869,501077.9956,552977.2014,263522.4716
jgi|Aurli1|42549|fgenesh1_kg.2_#_277_#_isotig04019,jgi|Aurli1|42549|fgenesh1_kg.2_#_277_#_isotig04019,134737.6926,340397.1274,399097.1131,101460,265405.2967,327598.202,109358.5771,266987.524,356984.9973,112108.4557,252359.0751,329772.2226,93235.28157,245052.1659,350363.7938
jgi|Aurli1|42582|fgenesh1_kg.2_#_310_#_isotig08856,jgi|Aurli1|42582|fgenesh1_kg.2_#_310_#_isotig08856,165277.8459,48263.70332,55191.12904,189520,57634.24341,62661.0579,165477.8116,51649.3161,60062.01686,159315.7475,53109.99119,58662.62613,150085.6334,52938.89817,58153.7008
