protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
jgi|Aurli1|100312|estExt_Genewise1Plus.C_1_t10335,jgi|Aurli1|100312|estExt_Genewise1Plus.C_1_t10335,486788.5787,659400.372,428753.2363,432040,627767.7901,401014.967,420512.5279,658836.2447,390642.2324,391412.3571,606037.3713,365954.9758,405149.9983,602584.1183,381409.8548
jgi|Aurli1|100463|estExt_Genewise1Plus.C_1_t20024,jgi|Aurli1|100463|estExt_Genewise1Plus.C_1_t20024,79587.83481,147478.6523,176930.5102,79013,107827.6773,112344.6161,69483.6721,99349.89331,134707.7103,67187.08671,95102.88675,115339.1401,67403.01865,116595.1369,135855.3486
jgi|Aurli1|100711|estExt_Genewise1Plus.C_1_t20349,jgi|Aurli1|100711|estExt_Genewise1Plus.C_1_t20349,2317246.333,2916609.097,2013785.671,1960700,2347452.195,1675175.823,1723586.27,2027804.643,1359792.809,1581307.543,1820713.133,1303613.914,1770127.906,1988827.769,1470651.448
jgi|Aurli1|1009|gm1.1009_g,jgi|Aurli1|1009|gm1.1009_g,364188.8895,78718.46991,108631.8612,278610,64371.37897,92838.85766,294715.3736,68851.30436,92922.55112,263362.1984,55973.12033,92965.09905,297275.032,60312.63763,85422.79857
jgi|Aurli1|101067|estExt_Genewise1Plus.C_1_t30403,jgi|Aurli1|101067|estExt_Genewise1Plus.C_1_t30403,123077.7938,200519.7936,277708.2535,124000,217636.2854,292644.4778,100525.6203,220281.1996,263473.9228,93090.83469,182914.8869,246294.3661,92801.82479,171982.9106,239880.4118
jgi|Aurli1|101509|estExt_Genewise1Plus.C_2_t10053,jgi|Aurli1|101509|estExt_Genewise1Plus.C_2_t10053,1699710.772,942974.3753,1016457.544,2247200,1667628.305,1781268.742,1887488.838,1427577.484,1548277.827,2142204.307,1610723.549,1832655.859,2037149.024,1468356.993,1683084.005
jgi|Aurli1|10179|gm1.10179_g,jgi|Aurli1|10179|gm1.10179_g,270207.178,447609.3358,600663.6571,183160,325641.3595,422744.8421,172667.8771,306578.579,405293.426,157907.9351,306759.5331,418576.9518,166993.3833,407506.8301,547999.8812
jgi|Aurli1|102011|estExt_Genewise1Plus.C_2_t20186,jgi|Aurli1|102011|estExt_Genewise1Plus.C_2_t20186,242682.011,320291.9202,270399.2686,256050,381974.6932,250985.8671,275812.4594,384036.0607,267727.4951,295843.1649,357564.7606,251421.3341,301599.8152,363206.2943,270741.9494
jgi|Aurli1|102422|estExt_Genewise1Plus.C_3_t10093,jgi|Aurli1|102422|estExt_Genewise1Plus.C_3_t10093,319354.3832,1009742.713,801235.0292,278720,869175.2443,712147.2691,270845.1292,1062389.819,765688.0328,277207.375,1004957.326,762624.7228,251209.2414,980905.8523,753824.1941
jgi|Aurli1|102428|estExt_Genewise1Plus.C_3_t10104,jgi|Aurli1|102428|estExt_Genewise1Plus.C_3_t10104,539721.5921,1428095.377,1334525.547,468330,1393944.492,1266142.881,387306.7952,1151354.246,959979.5144,392830.2976,1122957.212,932214.4745,413007.014,1092552.886,903922.4422
jgi|Aurli1|10253|gm1.10253_g,jgi|Aurli1|10253|gm1.10253_g,121955.7115,480722.6963,118281.7116,94257,447000.4692,101318.157,131218.6956,499661.5437,119943.9883,114123.9569,509377.8903,119249.0411,138168.0181,537329.1871,140180.1157
jgi|Aurli1|102543|estExt_Genewise1Plus.C_3_t10262,jgi|Aurli1|102543|estExt_Genewise1Plus.C_3_t10262,274832.1085,337567.644,392241.4843,221130,359405.8804,356497.7738,295884.7256,370333.2771,364423.1224,246306.3994,288331.4658,306830.217,265034.8493,301960.1984,347492.1485
jgi|Aurli1|102623|estExt_Genewise1Plus.C_3_t10370,jgi|Aurli1|102623|estExt_Genewise1Plus.C_3_t10370,132678.9155,183047.967,217190.7432,149360,211930.0223,152934.1635,142235.7315,178305.8226,145262.8713,140295.088,195538.3641,144578.1443,132982.1921,193537.6631,156844.8846
jgi|Aurli1|10264|gm1.10264_g,jgi|Aurli1|10264|gm1.10264_g,168458.7054,424459.8659,465441.9079,195170,425545.314,492094.5182,216668.3721,451371.9541,538695.8072,218453.996,445416.9309,531005.7145,229027.6043,451381.3061,516192.6612
jgi|Aurli1|102684|estExt_Genewise1Plus.C_3_t10448,jgi|Aurli1|102684|estExt_Genewise1Plus.C_3_t10448,545663.7497,475670.7143,569183.052,445620,382615.2927,439663.932,474650.6287,405947.3207,410638.5235,462866.432,382048.4816,416307.4454,486890.3583,437408.4813,504164.0424
jgi|Aurli1|102706|estExt_Genewise1Plus.C_3_t10494,jgi|Aurli1|102706|estExt_Genewise1Plus.C_3_t10494,32092.52985,138915.4962,68088.55715,25644,127223.0588,61589.67048,24898.50106,138573.4046,66981.38626,27559.69996,133013.4884,69091.77262,32038.62039,134247.569,60728.95541
jgi|Aurli1|102883|estExt_Genewise1Plus.C_3_t20226,jgi|Aurli1|102883|estExt_Genewise1Plus.C_3_t20226,2642747.776,1741486.346,2224762.119,3588400,2484639.04,2980246.555,3864080.37,2785415.905,3151807.082,4359154.336,3063678.739,3674131.043,4104238.856,2860313.719,3289129.493
jgi|Aurli1|102913|estExt_Genewise1Plus.C_3_t20277,jgi|Aurli1|102913|estExt_Genewise1Plus.C_3_t20277,357954.0148,413795.6082,351760.102,456940,484884.5375,371906.2307,432515.2985,482999.5619,391767.5161,437556.1934,474550.3496,386016.0017,413378.8279,473023.2071,386391.9864
jgi|Aurli1|103007|estExt_Genewise1Plus.C_4_t10065,jgi|Aurli1|103007|estExt_Genewise1Plus.C_4_t10065,1265416.131,1388874.815,1454167.327,1398100,1319142.182,1383623.649,1652458.74,1580061.005,1761856.671,1933463.204,1963819.377,2041850.262,2050553.895,1972269.536,1984433.772
jgi|Aurli1|103046|estExt_Genewise1Plus.C_4_t10111,jgi|Aurli1|103046|estExt_Genewise1Plus.C_4_t10111,1307762.542,678749.1827,542667.249,1224200,667662.3553,492942.7968,1569057.845,874018.9533,677792.1239,1829244.574,1079171.722,817563.2418,2041454.238,1203618.928,916562.2947
jgi|Aurli1|10391|gm1.10391_g,jgi|Aurli1|10391|gm1.10391_g,129390.7264,43995.1988,24223.59033,216950,82535.82391,66984.95443,186091.2655,73465.39161,51719.16359,189659.675,82931.32405,57379.70823,166102.9867,71941.16515,48384.34037
jgi|Aurli1|10398|gm1.10398_g,jgi|Aurli1|10398|gm1.10398_g,693895.7018,503414.593,544104.7196,864110,658891.07,853600.6215,830839.1296,637226.5591,836277.0786,819802.5777,631103.5598,768022.1501,866434.1174,641055.3814,756557.4469
jgi|Aurli1|104016|estExt_Genewise1Plus.C_5_t20224,jgi|Aurli1|104016|estExt_Genewise1Plus.C_5_t20224,347972.3608,528926.6349,536043.827,344570,485209.765,491955.0752,586492.8709,714919.6459,804228.9991,487720.904,635391.7259,675407.4723,543885.5219,694090.143,765841.2801
jgi|Aurli1|10404|gm1.10404_g,jgi|Aurli1|10404|gm1.10404_g,160887.0891,223482.499,241318.1336,217930,276167.3681,260119.3868,181732.7715,236085.5793,233845.2033,173403.9995,228809.3106,237522.0769,147306.8135,210793.0849,220816.8387
jgi|Aurli1|104178|estExt_Genewise1Plus.C_6_t10112,jgi|Aurli1|104178|estExt_Genewise1Plus.C_6_t10112,320086.1761,330059.7078,250683.8071,319710,286200.1417,233997.0557,347297.5597,335426.0484,254662.9515,396790.403,319694.3291,244977.3468,561634.7454,415030.6588,295491.1496
jgi|Aurli1|104533|estExt_Genewise1Plus.C_6_t20086,jgi|Aurli1|104533|estExt_Genewise1Plus.C_6_t20086,31911.04523,4728.692456,95749.91359,46669,7775.103849,128740.7945,35506.74692,8338.90719,145859.2717,58030.22929,12150.47336,174951.9016,57551.90608,13249.49139,198973.882
jgi|Aurli1|104577|estExt_Genewise1Plus.C_6_t20149,jgi|Aurli1|104577|estExt_Genewise1Plus.C_6_t20149,31336.34394,98583.68469,393900.1041,34517,96765.01691,354464.2293,27258.46612,83470.12,360799.709,33527.20399,93553.32229,387979.7716,31539.60694,87646.31028,377696.3215
jgi|Aurli1|10468|gm1.10468_g,jgi|Aurli1|10468|gm1.10468_g,182616.457,160412.0996,231609.6786,189780,161776.0098,242572.8032,214262.0195,188417.9868,290964.6033,227002.1518,211807.2845,343836.1072,242050.8769,228949.0422,366890.1702
jgi|Aurli1|104882|estExt_Genewise1Plus.C_7_t10208,jgi|Aurli1|104882|estExt_Genewise1Plus.C_7_t10208,4659178.477,3458599.915,3664001.867,3463900,2534211.585,2547508.294,3051718.936,2278488.304,2216921.394,2951443.228,2274937.374,2145565.531,2998288.067,2344975.027,2183719.037
jgi|Aurli1|104908|estExt_Genewise1Plus.C_7_t10242,jgi|Aurli1|104908|estExt_Genewise1Plus.C_7_t10242,1395772.824,1142065.42,1102484.627,1922900,1683298.354,1597784.931,1917254.163,1539631.196,1438675.195,1975191.168,1669171.152,1561255.812,1945663.225,1607020.091,1505249.584
jgi|Aurli1|104965|estExt_Genewise1Plus.C_7_t10320,jgi|Aurli1|104965|estExt_Genewise1Plus.C_7_t10320,462854.0751,305957.7385,194246.5017,465860,298815.0239,181496.7479,475046.8554,337320.3122,201527.0557,517487.5271,369013.2601,215156.2672,476822.0281,361395.5402,204382.724
jgi|Aurli1|105065|estExt_Genewise1Plus.C_7_t10466,jgi|Aurli1|105065|estExt_Genewise1Plus.C_7_t10466,9525307.961,8402631.934,9074972.756,11883000,11472644.11,12779955.4,12991404.67,12815024.18,14393503.66,13129116.56,13207953.18,14771782.42,12653415.55,12720789.91,14283263.94
jgi|Aurli1|10524|gm1.10524_g,jgi|Aurli1|10524|gm1.10524_g,474592.0318,269127.7629,437201.1402,432140,234252.4507,338335.3167,382494.0901,237009.1507,327525.0703,357736.2693,221187.0201,311145.807,363007.8232,242292.4604,344193.7928
jgi|Aurli1|105607|estExt_Genewise1Plus.C_8_t10312,jgi|Aurli1|105607|estExt_Genewise1Plus.C_8_t10312,933640.7843,988358.1688,993612.8192,759800,740937.0816,695100.3564,631575.7414,636821.3186,548519.5338,610322.1197,610094.5589,584662.4914,625498.6824,644047.4832,598409.3658
jgi|Aurli1|105921|estExt_Genewise1Plus.C_9_t10019,jgi|Aurli1|105921|estExt_Genewise1Plus.C_9_t10019,2335297.222,1908827.412,1558660.379,2819100,2504546.901,2090716.108,2901732.623,2739331.577,2259682.174,3112683.323,2896570.816,2439660.642,3145741.649,2857699.261,2331453.079
jgi|Aurli1|10610|gm1.10610_g,jgi|Aurli1|10610|gm1.10610_g,189026.962,317929.3482,57553.00374,164880,224515.3384,45353.85153,186961.0315,249072.1239,63435.61736,173535.6654,236401.4735,51915.25409,185799.3411,278672.1572,58190.60548
jgi|Aurli1|106183|estExt_Genewise1Plus.C_9_t10366,jgi|Aurli1|106183|estExt_Genewise1Plus.C_9_t10366,110237.2692,270584.5266,332221.5599,70205,213753.267,257191.0827,76571.29851,233267.7442,254674.2043,73558.70379,210240.6477,243225.2408,81114.14703,230546.7664,262945.836
jgi|Aurli1|106365|estExt_Genewise1Plus.C_9_t20141,jgi|Aurli1|106365|estExt_Genewise1Plus.C_9_t20141,919931.8656,606013.7162,593520.5342,819460,580432.4154,553588.9026,961555.2938,645708.3371,644416.2097,1038540.162,760481.6475,741587.6915,1131097.153,783088.2249,801823.3419
jgi|Aurli1|106452|estExt_Genewise1Plus.C_9_t20250,jgi|Aurli1|106452|estExt_Genewise1Plus.C_9_t20250,422059.0651,341162.8622,584984.1706,288100,238776.0686,384026.1556,348969.4432,302036.1156,523076.8696,272507.9149,262943.9159,424503.5386,296443.3429,275186.2134,478250.0383
jgi|Aurli1|10657|gm1.10657_g,jgi|Aurli1|10657|gm1.10657_g,53700.90801,17712.75297,194666.6854,35484,12559.69217,120316.1104,34970.39122,10069.75536,126223.0713,35164.92531,9089.405677,89663.14355,35267.53095,11032.04381,107349.9441
jgi|Aurli1|106669|estExt_Genewise1Plus.C_10_t10204,jgi|Aurli1|106669|estExt_Genewise1Plus.C_10_t10204,292902.5124,223314.4109,137178.9207,270030,177781.1417,120641.4775,257363.7563,167995.7502,116556.8844,272811.7593,160530.0575,123153.0626,296149.8056,166676.5295,131507.5162
jgi|Aurli1|10677|gm1.10677_g,jgi|Aurli1|10677|gm1.10677_g,757737.3067,1084915.458,1249272.486,550250,844014.4674,912596.6513,590600.0992,862643.9465,822784.9272,536082.8044,745227.0239,747937.606,545597.823,814219.6396,813713.5681
jgi|Aurli1|10682|gm1.10682_g,jgi|Aurli1|10682|gm1.10682_g,133957.1136,292109.1447,173900.7646,136730,353610.9188,233276.5999,176195.2614,442946.7213,291921.0944,184575.3453,477984.8994,322199.3617,188597.7303,452310.8911,331507.8095
jgi|Aurli1|106824|estExt_Genewise1Plus.C_10_t10418,jgi|Aurli1|106824|estExt_Genewise1Plus.C_10_t10418,412272.5559,566653.0805,814139.0918,345930,493527.703,694902.8121,329708.9586,447394.9426,671974.4073,316190.6116,442735.5718,617658.5283,343458.2375,474582.1987,676555.023
jgi|Aurli1|106883|estExt_Genewise1Plus.C_10_t10489,jgi|Aurli1|106883|estExt_Genewise1Plus.C_10_t10489,40711.09773,137299.9826,219568.0984,34090,120895.907,180102.3174,32429.70813,95438.85122,180045.3901,23296.76302,87917.44689,160699.8714,26037.73904,105081.8392,176669.6168
jgi|Aurli1|107122|estExt_Genewise1Plus.C_10_t20288,jgi|Aurli1|107122|estExt_Genewise1Plus.C_10_t20288,1551205.617,932057.9855,1178615.279,908120,552916.2034,713994.8895,907465.5133,494515.9317,658437.2445,865905.9014,519139.2426,663366.1531,991666.9242,588582.2441,776762.7585
jgi|Aurli1|10713|gm1.10713_g,jgi|Aurli1|10713|gm1.10713_g,896114.4489,496410.9212,748546.2047,1017800,648197.9861,1062916.258,1231202.079,839988.175,1377684.819,1387657.378,1034080.702,1656269.347,1366122.703,993009.8238,1617808.854
jgi|Aurli1|10724|gm1.10724_g,jgi|Aurli1|10724|gm1.10724_g,193349.4182,142706.8172,383472.9139,205150,136575.8114,395995.0173,191213.2208,139704.3083,336943.6948,176624.7502,103950.3676,292766.3324,180251.4857,103716.5112,288813.7093
jgi|Aurli1|107249|estExt_Genewise1Plus.C_11_t10127,jgi|Aurli1|107249|estExt_Genewise1Plus.C_11_t10127,1859241.605,5479859.605,4024475.252,933890,2509967.358,1857962.419,831728.2237,2211199.532,1551428.621,780576.2656,2149706.857,1576189.87,787550.8541,2097860.344,1460733.315
jgi|Aurli1|107413|estExt_Genewise1Plus.C_11_t10325,jgi|Aurli1|107413|estExt_Genewise1Plus.C_11_t10325,222543.0728,317238.3193,363281.9814,255520,365279.6849,401723.8025,336522.1255,409651.0304,500481.1732,331615.779,357293.6119,466706.9514,350865.1626,381981.9749,494026.7885
jgi|Aurli1|10775|gm1.10775_g,jgi|Aurli1|10775|gm1.10775_g,70740.94757,100554.051,35652.58697,66904,76948.81082,31468.80998,94970.71482,83454.09887,40317.78927,77012.40182,76348.4368,35170.29456,81093.59942,78773.61499,39099.35385
jgi|Aurli1|108201|estExt_Genewise1Plus.C_13_t10130,jgi|Aurli1|108201|estExt_Genewise1Plus.C_13_t10130,15983.33074,3150.25159,3179.684865,12893,3704.439024,2413.75917,13559.65178,3750.736486,2760.883529,13584.88316,3738.33681,3666.134854,16741.41201,4138.008953,4678.936629
jgi|Aurli1|108739|estExt_Genewise1Plus.C_14_t10191,jgi|Aurli1|108739|estExt_Genewise1Plus.C_14_t10191,211458.851,355618.4409,604146.7588,136570,269465.7119,368210.9899,187386.2504,292432.858,366144.8065,179673.3223,285569.7664,386509.884,208890.9439,318421.5997,432511.3021
jgi|Aurli1|109147|estExt_Genewise1Plus.C_15_t10216,jgi|Aurli1|109147|estExt_Genewise1Plus.C_15_t10216,105163.5057,582341.3054,312594.5581,92972,451918.3022,264581.5643,107966.9515,488267.6885,281017.0955,79723.70669,459024.5773,274010.5667,84827.39417,463417.4953,281651.8951
jgi|Aurli1|109323|estExt_Genewise1Plus.C_15_t10469,jgi|Aurli1|109323|estExt_Genewise1Plus.C_15_t10469,597874.7276,602362.4686,511651.0574,712180,847680.6675,719096.181,730410.15,803290.3487,678624.8339,665105.2651,797367.9097,652500.7439,675673.9955,835299.9164,694257.7361
jgi|Aurli1|109495|estExt_Genewise1Plus.C_160115,jgi|Aurli1|109495|estExt_Genewise1Plus.C_160115,43867.56406,177286.2796,159559.2315,30215,161145.2657,121094.6674,28828.87693,135538.8129,112310.0638,29805.11009,118873.5872,94857.13837,31446.65345,129580.2775,113092.0815
jgi|Aurli1|109712|estExt_Genewise1Plus.C_160375,jgi|Aurli1|109712|estExt_Genewise1Plus.C_160375,1992037.607,1042146.368,1206369.519,2222700,1210634.484,1446837.831,1818390.762,953163.3665,1122684.283,1713581.139,921795.0234,1043126.313,1761223.94,931463.5494,1073580.17
jgi|Aurli1|110008|estExt_Genewise1Plus.C_17_t10323,jgi|Aurli1|110008|estExt_Genewise1Plus.C_17_t10323,322183.9821,509904.6622,504264.6703,323910,500298.3468,503819.3546,374289.2976,510442.826,548744.5906,354009.1113,529924.9343,581934.3801,388682.5545,558118.9685,566521.4168
jgi|Aurli1|110060|estExt_Genewise1Plus.C_17_t10386,jgi|Aurli1|110060|estExt_Genewise1Plus.C_17_t10386,1087541.691,902801.3137,988548.4999,1290700,1071082.348,1215129.965,1328712.51,975875.6832,1163205.749,1263385.018,987332.6621,1154355.648,1202818.105,920308.5292,1056004.317
jgi|Aurli1|11010|gm1.11010_g,jgi|Aurli1|11010|gm1.11010_g,329053.0773,211174.713,424772.5487,280630,206637.6849,412948.9679,291864.4739,249204.0627,445679.8576,295974.8308,244294.9127,426208.6083,325141.5085,262743.3307,464330.0548
jgi|Aurli1|11037|gm1.11037_g,jgi|Aurli1|11037|gm1.11037_g,289750.9247,818495.7813,616873.902,252710,748535.5771,591680.0954,213198.9722,750901.2331,483050.5288,229513.9322,768626.1502,505088.6564,248782.6661,796044.316,539996.179
jgi|Aurli1|110537|estExt_Genewise1Plus.C_190021,jgi|Aurli1|110537|estExt_Genewise1Plus.C_190021,489686.4782,503965.5485,492864.423,435510,411363.4268,373695.7498,430012.3053,388597.3725,326354.7753,397651.2954,398638.7634,333452.8212,392214.7869,404243.5994,346050.5595
jgi|Aurli1|110557|estExt_Genewise1Plus.C_190048,jgi|Aurli1|110557|estExt_Genewise1Plus.C_190048,633030.0543,541804.0529,590512.9035,638990,595530.8526,601685.1341,785447.009,868666.0089,1060557.37,909578.47,899239.4707,936424.2326,1052526.996,1092552.886,1125846.421
jgi|Aurli1|110565|estExt_Genewise1Plus.C_190063,jgi|Aurli1|110565|estExt_Genewise1Plus.C_190063,283106.2459,791004.0348,372360.1608,326680,729997.6134,388685.8775,415593.518,962776.0482,534003.3742,466198.5922,1027854.325,582522.3351,580019.9664,1240705.497,760939.8775
jgi|Aurli1|11058|gm1.11058_g,jgi|Aurli1|11058|gm1.11058_g,3273748.325,2795959.177,2397590.309,4133200,3790673.571,3279816.704,4261756.709,4067295.291,3733128.636,4340721.109,4145160.246,3690828.966,4111088.06,3862425.729,3347946.325
jgi|Aurli1|111183|estExt_Genewise1Plus.C_20_t10475,jgi|Aurli1|111183|estExt_Genewise1Plus.C_20_t10475,40163.7167,26504.69568,127028.1671,37306,24253.09672,114528.0618,41604.77291,22730.2227,105820.5528,36842.14641,20732.83101,99696.00835,39952.38663,28404.63205,127263.4781
jgi|Aurli1|111272|estExt_Genewise1Plus.C_210076,jgi|Aurli1|111272|estExt_Genewise1Plus.C_210076,46583.00325,61859.23108,75510.32819,37027,71405.16138,76230.02855,73665.3137,94439.88625,108749.6662,50017.85244,84064.12295,68654.33407,58851.29796,84094.52087,75208.27546
jgi|Aurli1|111355|estExt_Genewise1Plus.C_210199,jgi|Aurli1|111355|estExt_Genewise1Plus.C_210199,1202872.238,994334.6354,932774.6424,1221700,1035307.331,974044.5547,1335863.919,1022902.43,1091052.558,1507473.354,1309648.095,1250580.369,1560150.874,1407933.968,1394420.221
jgi|Aurli1|111508|estExt_Genewise1Plus.C_210394,jgi|Aurli1|111508|estExt_Genewise1Plus.C_210394,549595.9164,703504.8281,591386.4433,423560,520137.2203,465123.9086,470978.2834,568976.5186,462536.6072,455027.2464,529051.233,450890.9608,467105.9427,605789.25,470869.1026
jgi|Aurli1|111701|estExt_Genewise1Plus.C_220222,jgi|Aurli1|111701|estExt_Genewise1Plus.C_220222,161462.7661,375480.8542,137090.461,173350,373863.7181,157744.9486,211730.0341,462256.9026,160622.9937,213541.8449,437623.9172,170542.2388,188157.4243,348778.3602,115730.766
jgi|Aurli1|111852|estExt_Genewise1Plus.C_230012,jgi|Aurli1|111852|estExt_Genewise1Plus.C_230012,780813.1734,690197.8516,734790.7173,750350,668135.4134,706383.6231,944652.8414,775649.1765,842589.9201,951833.098,876211.9185,930544.6822,964436.4451,861347.6631,928660.1097
jgi|Aurli1|111860|estExt_Genewise1Plus.C_230020,jgi|Aurli1|111860|estExt_Genewise1Plus.C_230020,964698.0712,1340782.935,1006362.077,1010200,1361323.195,1062741.954,852902.1935,1204695.206,828467.6098,774955.1441,1172567.377,783638.236,796748.3569,1216303.89,815478.0731
jgi|Aurli1|112282|estExt_Genewise1Plus.C_250020,jgi|Aurli1|112282|estExt_Genewise1Plus.C_250020,764450.2861,427336.0404,526788.7281,663270,373912.995,437258.5394,633624.5235,388097.89,432975.4047,755802.8187,461013.0009,526360.8697,756465.2515,495526.911,530931.4672
jgi|Aurli1|11268|gm1.11268_g,jgi|Aurli1|11268|gm1.11268_g,255805.4954,402374.954,340658.4063,265070,437499.886,362970.2553,316469.1874,481284.3579,392408.9278,290151.1464,464216.5723,371528.7896,301482.4003,509054.3096,415408.2901
jgi|Aurli1|113138|estExt_Genewise1Plus.C_310069,jgi|Aurli1|113138|estExt_Genewise1Plus.C_310069,97185.01263,352350.0607,152703.6027,84661,307862.2598,124348.3385,74174.61001,302262.2964,122250.8199,71485.47217,292227.9727,121059.9427,84029.95111,313357.298,131057.7404
jgi|Aurli1|113506|fgenesh1_pm.1_#_27,jgi|Aurli1|113506|fgenesh1_pm.1_#_27,152261.6911,129371.8261,87996.41857,172970,130849.8375,104208.1142,183356.3347,151239.5265,110913.5867,202968.0597,151401.3855,116591.4844,198401.8769,159481.9288,114476.0069
jgi|Aurli1|113507|fgenesh1_pm.1_#_28,jgi|Aurli1|113507|fgenesh1_pm.1_#_28,430069.7571,111759.926,111337.6231,429630,116667.9503,112006.4667,449156.8211,105871.4382,110222.6625,430466.4907,99877.11192,94863.01792,446284.3619,113448.1043,109599.9762
jgi|Aurli1|113518|fgenesh1_pm.1_#_39,jgi|Aurli1|113518|fgenesh1_pm.1_#_39,246994.71,92617.49012,209262.5402,169700,70698.53086,153689.48,451050.9782,164744.4019,417907.8561,285927.7093,115911.0368,272517.1609,361931.5197,124874.2534,324034.6121
jgi|Aurli1|113657|fgenesh1_pm.1_#_178,jgi|Aurli1|113657|fgenesh1_pm.1_#_178,345533.0514,180638.7039,250617.4623,328540,193648.2983,262071.5894,346746.7079,199180.4207,248462.6384,335413.834,198952.8289,239897.4153,345601.06,181888.8009,216249.8847
jgi|Aurli1|113696|fgenesh1_pm.1_#_217,jgi|Aurli1|113696|fgenesh1_pm.1_#_217,230719.6378,106950.738,135962.5995,274570,152758.3401,179602.6465,356256.1494,214702.0745,200345.5079,343627.761,197165.2561,215614.8721,396275.3866,209524.5887,234967.4765
jgi|Aurli1|113726|fgenesh1_pm.1_#_247,jgi|Aurli1|113726|fgenesh1_pm.1_#_247,1074076.704,1608696.728,1646014.359,876830,1462242.253,1459852.515,746268.8832,1150977.279,1084964.774,685341.3022,1027452.623,1019231.82,785016.6485,1163336.911,1202977.2
jgi|Aurli1|113768|fgenesh1_pm.1_#_289,jgi|Aurli1|113768|fgenesh1_pm.1_#_289,205975.2835,423245.8961,471457.1693,202120,362835.5515,479718.9477,243321.8676,425445.9859,575290.0328,211181.9867,375109.084,494340.8382,215867.3476,402103.6172,529328.4203
jgi|Aurli1|11378|gm1.11378_g,jgi|Aurli1|11378|gm1.11378_g,250926.8767,169675.6229,283723.5149,248670,135728.249,232102.9543,232894.3398,149910.7146,275233.1373,219314.8885,120068.6498,186346.4703,214565.9988,139805.7127,198731.695
jgi|Aurli1|113801|fgenesh1_pm.1_#_322,jgi|Aurli1|113801|fgenesh1_pm.1_#_322,321735.1492,229150.8041,126663.2707,378390,273398.0072,179532.925,347616.4739,302601.5675,165709.2759,334552.9415,268869.0166,151833.5094,325307.8463,278313.8796,159935.6515
jgi|Aurli1|113861|fgenesh1_pm.1_#_382,jgi|Aurli1|113861|fgenesh1_pm.1_#_382,933133.4079,960156.7169,1043371.415,904580,895065.3191,1021559.773,922203.2148,1100840.546,1210017.55,903106.5842,1070033.008,1226826.986,944378.0614,1029805.897,1202400.564
jgi|Aurli1|11390|gm1.11390_g,jgi|Aurli1|11390|gm1.11390_g,1397919.416,1650905.524,1462239.277,1106900,1289378.944,1187589.963,915071.1337,1018284.573,970388.3885,982997.4053,1036792.189,939199.3804,962802.4207,1054594.831,901512.1054
jgi|Aurli1|113953|fgenesh1_pm.1_#_474,jgi|Aurli1|113953|fgenesh1_pm.1_#_474,50044.87112,252374.9799,95772.02852,47074,214590.974,67976.1621,38241.67775,203430.7339,50935.96615,35716.90931,197356.0644,53399.25261,42621.61936,212797.5026,59956.2637
jgi|Aurli1|113956|fgenesh1_pm.1_#_477,jgi|Aurli1|113956|fgenesh1_pm.1_#_477,742779.4616,158236.2922,318090.1186,621040,146293.2129,239075.1067,569629.0748,123409.8703,202269.743,573850.6634,119797.5012,219624.7255,634402.6479,130306.5158,236697.3833
jgi|Aurli1|113958|fgenesh1_pm.1_#_479,jgi|Aurli1|113958|fgenesh1_pm.1_#_479,115867.1953,221736.2502,181596.7608,124190,230576.3951,199298.9771,102931.9728,234681.3739,203518.8079,103854.0162,217652.0448,194307.3815,105595.1598,239794.2006,204993.9577
jgi|Aurli1|114034|fgenesh1_pm.1_#_555,jgi|Aurli1|114034|fgenesh1_pm.1_#_555,165912.0664,157872.1013,251103.9908,129860,109838.1742,206003.8637,132648.9775,95580.21419,205172.9749,112797.1697,91453.42645,173928.8598,125066.4689,95446.10953,188917.357
jgi|Aurli1|114038|fgenesh1_pm.1_#_559,jgi|Aurli1|114038|fgenesh1_pm.1_#_559,95078.42505,52438.82556,62992.17116,80945,61374.35889,61688.44264,93618.71191,78568.59472,75237.59268,85808.69722,75264.84636,73635.48917,83370.47059,77553.53466,75659.2045
jgi|Aurli1|114081|fgenesh1_pm.1_#_602,jgi|Aurli1|114081|fgenesh1_pm.1_#_602,71479.57045,178630.9846,177251.1768,48726,119959.6462,144009.8084,38734.54515,94788.58157,131680.6972,42904.85502,85593.60233,118367.1086,43022.78703,102680.4112,128739.6652
jgi|Aurli1|114145|fgenesh1_pm.1_#_666,jgi|Aurli1|114145|fgenesh1_pm.1_#_666,69989.64028,64179.78101,57890.25644,104420,88508.18224,86139.7812,82907.06054,87872.1628,70601.42388,98644.09752,73031.38469,70452.30058,93066.98684,70288.2468,67957.65936
jgi|Aurli1|114175|fgenesh1_pm.1_#_696,jgi|Aurli1|114175|fgenesh1_pm.1_#_696,82756.98555,79078.92556,252828.9555,100100,79315.08678,247999.4618,76901.80959,69960.53244,220870.6823,74594.8132,73174.99306,215309.1355,73954.77171,78863.66854,221393.4743
jgi|Aurli1|114188|fgenesh1_pm.2_#_11,jgi|Aurli1|114188|fgenesh1_pm.2_#_11,3272284.739,2250326.45,2333346.433,3188900,2286447.413,2413759.17,3997831.051,2892380.55,3024199.912,4393691.316,3318257.216,3484103.974,4159619.564,3342535.944,3417719.233
