jgi,max.exp
141416&141423,24.37
125465,24.31
84665,24.29
105065,23.73
79000,23.51
42195,23.46
46246,23.39
46390,23.31
41691,23.29
46347,23.17
85647,23.12
78378,23.11
136098,23.08
6602,23.07
114497,23.05
12559,22.99
142698,22.97
145675,22.93
138997,22.91
136262,22.87
