name,T0_1,T0_2,T0_3,T2_1,T2_2,T2_3,T4_1,T4_2,T4_3,T6_1,T6_2,T6_3,T8_1,T8_2,T8_3,Protein_id,jgi,ID,set,T2_vs_T0_CI.L,T2_vs_T0_CI.R,T2_vs_T0_diff,T2_vs_T0_p.adj,T2_vs_T0_p.val,T4_vs_T0_CI.L,T4_vs_T0_CI.R,T4_vs_T0_diff,T4_vs_T0_p.adj,T4_vs_T0_p.val,T4_vs_T2_CI.L,T4_vs_T2_CI.R,T4_vs_T2_diff,T4_vs_T2_p.adj,T4_vs_T2_p.val,T6_vs_T0_CI.L,T6_vs_T0_CI.R,T6_vs_T0_diff,T6_vs_T0_p.adj,T6_vs_T0_p.val,T6_vs_T4_CI.L,T6_vs_T4_CI.R,T6_vs_T4_diff,T6_vs_T4_p.adj,T6_vs_T4_p.val,T8_vs_T0_CI.L,T8_vs_T0_CI.R,T8_vs_T0_diff,T8_vs_T0_p.adj,T8_vs_T0_p.val,T8_vs_T6_CI.L,T8_vs_T6_CI.R,T8_vs_T6_diff,T8_vs_T6_p.adj,T8_vs_T6_p.val,T2_vs_T0_significant,T4_vs_T0_significant,T4_vs_T2_significant,T6_vs_T0_significant,T6_vs_T4_significant,T8_vs_T0_significant,T8_vs_T6_significant,significant,cluster
100312-jgi-mmetsp,18.92345651095423,18.89619818258948,18.888731618967242,18.856995240507594,18.83601442886024,18.857415230087405,18.785898933153632,18.893528921755525,18.804287553129747,18.760282676758983,18.78662279200777,18.7552232974614,18.74828291469892,18.73903350068352,18.778597866389887,100312-jgi-mmetsp,100312,100312-jgi-mmetsp,jgi-mmetsp,-0.11039809904664008,0.005090490342829344,-0.052653804351905364,0.8518089039487314,0.07032550058075172,-0.1326345961854177,-0.017146006795948278,-0.07489030149068299,0.8892443365517295,0.015227218431724632,-0.07998079183351234,0.03550779755595709,-0.022236497138777622,0.8889842234755809,0.4184163287909032,-0.19316347678900567,-0.07767488739953624,-0.13541918209427095,0.8305058836643399,2.483641402795635e-4,-0.11827317529832268,-0.0027845859088532557,-0.060528880603587965,0.7389758059822867,0.041364691795909285,-0.20523497160761547,-0.08974638221814604,-0.14749067691288076,0.717499655079567,1.1740782703318591e-4,-0.06981578951334452,0.0456727998761249,-0.012071494818609807,0.8830375937911294,0.6573434978427545,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
100463-jgi-mmetsp,16.97505082336763,17.169437394011503,17.222113527026032,16.908277402135987,16.77585461277622,16.584175216938583,16.741671884473078,16.63755862346185,16.803127369413595,16.75682442781976,16.6239149943288,16.63066787967827,16.72089622765438,16.856989685453897,16.83840167237168,100463-jgi-mmetsp,100463,100463-jgi-mmetsp,jgi-mmetsp,-0.5472397720061581,-0.18495656969675148,-0.3660981708514548,0.7554546914534506,8.38929292321331e-4,-0.5758895568402524,-0.21360635453084578,-0.3947479556855491,0.8530420116558913,4.5939748022115186e-4,-0.20979138598879762,0.15249181632060901,-0.028649784834094305,0.9005702452433186,0.7367191300469699,-0.6328730820141504,-0.2705898797047437,-0.45173148085944703,0.8228274393650269,1.453516754929279e-4,-0.23812512632860125,0.12415807598080539,-0.05698352517389793,0.874490327113425,0.5066616762788847,-0.4979129874631065,-0.13562978515369986,-0.3167713863084032,0.7848027172639048,0.0024439726993296463,-0.04618150660365947,0.3161016957057472,0.13496009455104385,0.7915674735619701,0.13069513652740372,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
100711-jgi-mmetsp,21.121204549464046,21.228310123631708,21.108057658218286,20.921786524911376,20.941910777478,20.925334844029727,20.739562272887362,20.700186457662177,20.671432862576168,20.626620167093478,20.588363587971052,20.667742679048985,20.7459723841013,20.679028123683025,20.759818902800895,100711-jgi-mmetsp,100711,100711-jgi-mmetsp,jgi-mmetsp,-0.29831510847564846,-0.14737834812096662,-0.22284672829830754,0.6126192141125602,3.047855550910362e-5,-0.5242652929067865,-0.37332853255210463,-0.44879691272944555,0.423249035677149,1.7373020834478287e-8,-0.30141856460847893,-0.1504818042537971,-0.225950184431138,0.4150782023468163,2.6676748325641335e-5,-0.600417012577516,-0.44948025222283416,-0.5249486324001751,0.3236975672146158,2.8501652428205637e-9,-0.15162009984807046,-6.833394933886128e-4,-0.07615171967072953,0.7499993059748754,0.048258364683350395,-0.4997193537536083,-0.3487825933989265,-0.4242509735762674,0.2684964802603032,3.296456334830111e-8,0.025229278646566766,0.1761660390012486,0.10069765882390769,0.5659102701981956,0.013080936646035534,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
1009-jgi-mmetsp,17.374331740612348,17.142238135023113,17.138505964460848,16.919306880823818,17.00313728990391,17.00136087742851,16.990193720645344,17.02705086880365,16.97827943183934,16.823449449520517,16.91015249399618,17.020093923199468,17.020698966387947,16.92846202155704,16.895459929189485,1009-jgi-mmetsp,1009,1009-jgi-mmetsp,jgi-mmetsp,-0.3821522082402019,-0.10536165305317058,-0.24375693064668624,0.7841460186026968,0.002324552001666572,-0.3582458838628412,-0.08145532867580985,-0.2198506062693255,0.8788981138506923,0.004653678046956446,-0.11448895321615493,0.1623016019708764,0.023906324377360733,0.8998929800165958,0.7136052854990482,-0.4388552687202306,-0.1620647135331993,-0.30045999112671495,0.8389320245371081,4.737810483796586e-4,-0.2190046624509051,0.05778589273612622,-0.08060938485738944,0.8397755792261989,0.22889282086522048,-0.40854691858079517,-0.13175636339376384,-0.2701516409872795,0.7699461634736058,0.0010961414516537347,-0.10808692745408022,0.1687036277329511,0.030308350139435447,0.8819524866283359,0.6422867368023866,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
101067-jgi-mmetsp,17.796599299516735,17.820072024613573,17.92936510975153,17.912333681911207,17.97635540575908,18.032842593060565,18.03442537362792,18.02017947282215,17.8609436300871,17.835825294742172,17.82031127145062,17.808289879316455,17.76412905777797,17.7046978432955,17.73335489304261,101067-jgi-mmetsp,101067,101067-jgi-mmetsp,jgi-mmetsp,0.02111501777414472,0.22921514679185695,0.12516508228300083,0.8325218911399958,0.02228368988830696,0.019120616376253965,0.2272207453939662,0.12317068088511007,0.8928917694682594,0.024074459789936536,-0.10604446590674686,0.10205566311096535,-0.001994401397890755,0.9066139740722275,0.967422965181461,-0.13125339396638414,0.0768467350513281,-0.027203329457528014,0.9007663074511824,0.579943861612692,-0.2544240748514942,-0.04632394583378198,-0.1503740103426381,0.5954856646598008,0.00832878047954831,-0.21866827776411146,-0.010568148746399234,-0.11461821325525534,0.823988808783658,0.03347112437522158,-0.19146494830658345,0.01663518071112878,-0.08741488379772733,0.7658429496931165,0.09222966165519837,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
101509-jgi-mmetsp,20.25549158896957,20.194728544137995,20.168324652022832,20.90062429345619,20.87141237843732,20.829843507143188,20.580125471200162,20.656950943921068,20.640628325622252,20.858424941176885,20.843673255622264,20.881409628698357,20.721684014713773,20.696344884750474,20.742016570417753,101509-jgi-mmetsp,101509,101509-jgi-mmetsp,jgi-mmetsp,0.5979151623930536,0.724308433544476,0.6611117979687648,1.8200242342088403e-4,2.3068667631680598e-11,0.35652334962864834,0.48291662078007086,0.4197199852043596,0.3057375094066237,4.874026080290234e-9,-0.3045884483401165,-0.178195177188694,-0.24139181276440524,0.2024160185789704,2.2794909062315057e-6,0.5917910445466528,0.7181843156980752,0.654987680122364,0.05326148126028971,2.5779333892871697e-11,0.1720710593422931,0.2984643304937156,0.23526769491800437,0.006564814179711764,2.982219091859196e-6,0.4506369260081579,0.5770301971595804,0.5138335615838692,0.05986823456564746,4.587481059732196e-10,-0.20435075411420606,-0.07795748296278356,-0.1411541185384948,0.13406849241187827,3.7485452124589404e-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cluster 4
10179-jgi-mmetsp,18.735851234452646,18.697007635861773,18.717916852334277,18.352657855732083,18.267843439359957,18.201539498932114,18.21111688600942,18.151486696666197,18.142876876998805,18.222995482363544,18.196508924144048,18.239910608691993,18.3373441399576,18.566928319581557,18.592979491129384,10179-jgi-mmetsp,10179,10179-jgi-mmetsp,jgi-mmetsp,-0.5668224142548053,-0.31900087149488915,-0.4429116428748472,0.4830628616122607,4.5439672670879356e-6,-0.6723425257047144,-0.4245209829447983,-0.5484317543247563,0.6603095148067968,4.715864557886026e-7,-0.22943088282986718,0.018390659930048903,-0.10552011144990914,0.856543562296036,0.08835807925894842,-0.6210310071963261,-0.37320946443640995,-0.497120235816368,0.7129395887408543,1.3569533122477308e-6,-0.07259925287156971,0.17522228988834637,0.05131151850838833,0.8630863307126168,0.38523260225759426,-0.3417520287066726,-0.09393048594675651,-0.21784125732671455,0.7841518702885003,0.0023549636114482066,0.1553682071096954,0.4031897498696115,0.27927897848965344,0.12843045770708447,3.4759782819788695e-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102011-jgi-mmetsp,18.04514608898345,18.026493352088174,18.193093389600612,18.10929445242592,18.31216140395641,18.127926036715067,18.154203771319708,18.18858485876936,18.185696718597768,18.26746746061346,18.177877680977858,18.14775786705672,18.28051073319115,18.175588941529888,18.203725284595166,102011-jgi-mmetsp,102011,102011-jgi-mmetsp,jgi-mmetsp,-0.02971758385036155,0.21948362546713257,0.09488302080838551,0.8604635634731935,0.12316887372965939,-0.03668309865388325,0.21251811066361087,0.08791750600486381,0.9063340413953633,0.1504081769493675,-0.13156611946226876,0.11763508985522536,-0.0069655148035217,0.9050870498593597,0.9052117468939127,-0.0151438786668176,0.23405733065067652,0.10945672599192946,0.8857928693079274,0.07984855912930705,-0.10306138467168141,0.1461398246458127,0.02153921998706565,0.8882101573846806,0.7134057282588252,0.007096771555909653,0.2562979808734038,0.13169737621465671,0.8262855371380036,0.03996070331434816,-0.1023599544360198,0.14684125488147431,0.022240650222727254,0.8862649224101078,0.704557727332965,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102422-jgi-mmetsp,19.505905737614817,19.469952198635518,19.49752673838227,19.426604678176105,19.26134003585569,19.35111170485036,19.400972787470266,19.545710544070936,19.435469486248238,19.440509864461873,19.505278909576994,19.471639014596683,19.33868863417363,19.42854103698476,19.41638301033096,102422-jgi-mmetsp,102422,102422-jgi-mmetsp,jgi-mmetsp,-0.24197995029037306,-0.0475722202099204,-0.14477608525014674,0.8097757689224238,0.006958231452565847,-0.1276144839879459,0.06679324609250677,-0.03041061894771957,0.915338242659398,0.5089535042805226,0.01716160126220083,0.2115693313426535,0.11436546630242717,0.8247225696660164,0.024783844150376887,-0.11585616037257458,0.07855156970787809,-0.018652295332348245,0.9022289410352208,0.6836898781243791,-0.08544554142485501,0.10896218865559766,0.011758323615371324,0.8925903433110777,0.7968788758616143,-0.19379452942130532,6.132006591473421e-4,-0.096590664381079,0.8294621580120349,0.051248251950520594,-0.17514223408895707,0.019265495991495588,-0.07793836904873075,0.7766498687879616,0.10631385115130426,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
102428-jgi-mmetsp,20.012547696574558,20.088100310623112,20.12398919915823,19.946078055353475,20.078903292461966,20.082747506931945,19.735717017185976,19.7233149515082,19.69047437708972,19.760491299475007,19.719587631294097,19.693769519034376,19.753686095382236,19.634917276727684,19.615415035646166,102428-jgi-mmetsp,102428,102428-jgi-mmetsp,jgi-mmetsp,-0.13678640983978674,0.058847508767443255,-0.038969450536171735,0.8782517159582326,0.40296851217636454,-0.4561939128276159,-0.2605599942203859,-0.3583769535240009,0.746621726708628,3.5212930569308975e-6,-0.41722446229144416,-0.22159054368421416,-0.31940750298782916,0.329172774226806,1.1371683288915993e-5,-0.4480798781544245,-0.2524459595471945,-0.3502629188508095,0.7506877036373926,4.461565909233346e-6,-0.0897029246304236,0.10593099397680637,0.008114034673191384,0.8956024325711271,0.8597963644499558,-0.5046898921702166,-0.30905597356298664,-0.40687293286660164,0.5079956367049446,9.224927208481535e-7,-0.15442697331940713,0.04120694528782286,-0.05661001401579213,0.8285383341207853,0.23170707072694977,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not significant
