label,condition,replicate,name,intensity,Protein_id,jgi,ID,set,T2_vs_T0_CI.L,T2_vs_T0_CI.R,T2_vs_T0_diff,T2_vs_T0_p.adj,T2_vs_T0_p.val,T4_vs_T0_CI.L,T4_vs_T0_CI.R,T4_vs_T0_diff,T4_vs_T0_p.adj,T4_vs_T0_p.val,T6_vs_T0_CI.L,T6_vs_T0_CI.R,T6_vs_T0_diff,T6_vs_T0_p.adj,T6_vs_T0_p.val,T8_vs_T0_CI.L,T8_vs_T0_CI.R,T8_vs_T0_diff,T8_vs_T0_p.adj,T8_vs_T0_p.val,T2_vs_T0_significant,T4_vs_T0_significant,T6_vs_T0_significant,T8_vs_T0_significant,significant,cluster
T0-1,T0,1,101509-jgi-mmetsp,20.254728044485528,101509-jgi-mmetsp,101509,101509-jgi-mmetsp,jgi-mmetsp,0.5988004889699928,0.7252065473219881,0.6620035181459905,1.9749342279791994e-4,2.2779382343789614e-11,0.3576287274958259,0.4840347858478213,0.4208317566718236,0.3000124904238999,4.739934675011759e-9,0.5930012923902949,0.7194073507422901,0.6562043215662925,0.05303994064970239,2.530200037928551e-11,0.4515156607141902,0.5779217190661855,0.5147186898901879,0.06066847066938486,4.509198916103907e-10,TRUE,FALSE,FALSE,FALSE,TRUE,Cluster 4
T0-1,T0,1,102883-jgi-mmetsp,21.00958112078328,102883-jgi-mmetsp,102883,102883-jgi-mmetsp,jgi-mmetsp,0.3807566727734486,0.5184481032176886,0.4496023879955686,0.048285081725873966,5.931035776287066e-9,0.45681198325169103,0.5945034136959311,0.525657698473811,0.1815133760196563,9.618296253570544e-10,0.6700094922250319,0.807700922669272,0.7388552074471519,0.0437022864008623,1.7037320238544288e-11,0.5238927237881168,0.6615841542323568,0.5927384390102368,0.04163458301475407,2.33967604855804e-10,TRUE,FALSE,TRUE,TRUE,TRUE,Cluster 4
T0-1,T0,1,103997-mmetsp,20.61600199245978,103997-mmetsp,103997,103997-mmetsp,mmetsp,-0.609162634481314,-0.5027967955372442,-0.5559797150092791,2.0409689931336024e-4,2.330870563407578e-11,-0.6180567341471378,-0.511690895203068,-0.5648738146751029,0.023394630657823157,1.9284464773268617e-11,-0.6198471118634669,-0.513481272919397,-0.566664192391432,0.04544163929495535,1.8569010411201093e-11,-0.46654788766279054,-0.3601820487187207,-0.41336496819075563,0.07989860350243214,7.805219856332582e-10,TRUE,TRUE,TRUE,FALSE,TRUE,Cluster 2
T0-1,T0,1,104016-jgi-mmetsp,18.895845923354152,104016-jgi-mmetsp,104016,104016-jgi-mmetsp,jgi-mmetsp,-0.11476350394363175,-0.013019814740058332,-0.06389165934184504,0.8324060946179409,0.01798391846695198,0.4692265061809734,0.5709701953845469,0.5200983507827601,0.032669058569048455,3.04094047350119e-11,0.29759007278917327,0.3993337619927467,0.34846191739096,0.34164182336284443,3.4127488906211345e-9,0.4055456123672697,0.5072893015708432,0.45641745696905645,0.031541789037869555,1.4366893507742785e-10,FALSE,TRUE,FALSE,TRUE,TRUE,Cluster 4
T0-1,T0,1,104882-jgi-mmetsp,21.966621186980625,104882-jgi-mmetsp,104882,104882-jgi-mmetsp,jgi-mmetsp,-0.4673919224143828,-0.36025612370969234,-0.4138240230620376,0.012707261555764205,8.384566606955807e-10,-0.6435505204724881,-0.5364147217677977,-0.5899826211201429,0.01693945815263523,1.2498429310908682e-11,-0.6250232907940405,-0.5178874920893501,-0.5714553914416953,0.04515114881975103,1.830318223833688e-11,-0.6342575854286534,-0.527121786723963,-0.5806896860763082,0.005480006460197625,1.5111891288392303e-11,TRUE,TRUE,TRUE,TRUE,TRUE,Cluster 2
T0-1,T0,1,104908-jgi-mmetsp,20.523045493446414,104908-jgi-mmetsp,104908,104908-jgi-mmetsp,jgi-mmetsp,0.4172346822296709,0.5269667351164721,0.4721007086730715,0.0037675507514476105,2.3559695637699353e-10,0.3354482114820832,0.4451802643688844,0.3903142379254838,0.23370034709697507,2.1978723804296093e-9,0.4444082229258142,0.5541402758126154,0.49927424936921483,0.11048296258167126,1.214678682197579e-10,0.36258720375615133,0.47231925664295255,0.41745323019955194,0.08928490964377735,1.0021424980617855e-9,TRUE,FALSE,FALSE,FALSE,TRUE,Cluster 4
T0-1,T0,1,105065-jgi-mmetsp,23.149986213630406,105065-jgi-mmetsp,105065,105065-jgi-mmetsp,jgi-mmetsp,0.385727473421247,0.4713167342305493,0.42852210382589817,4.2822814755042024e-4,3.8956653327472184e-11,0.5050475471861968,0.5906368079954991,0.547842177590848,0.0033425841563477806,2.0568303758968016e-12,0.5790566414378115,0.6646459022471138,0.6218512718424627,0.002472572790044538,4.4709675701595044e-13,0.497167051309346,0.5827563121186483,0.5399616817139972,7.623483824268452e-4,2.4481764684680105e-12,TRUE,TRUE,TRUE,TRUE,TRUE,Cluster 4
T0-1,T0,1,105607-jgi-mmetsp,19.957688147653037,105607-jgi-mmetsp,105607,105607-jgi-mmetsp,jgi-mmetsp,-0.4156444038889048,-0.2991726263755795,-0.35740851513224214,0.07160445639649364,1.2126266871721057e-8,-0.6902300900544985,-0.5737583125411733,-0.6319942012978359,0.01946508565646185,1.4912322649921907e-11,-0.6600822181916043,-0.543610440678279,-0.6018463294349417,0.054462912602896846,2.673600149111219e-11,-0.6479694552900596,-0.5314976777767343,-0.5897335665333969,0.01159955744260319,3.407270690025103e-11,FALSE,TRUE,FALSE,TRUE,TRUE,Cluster 2
T0-1,T0,1,105921-jgi-mmetsp,20.875691658780653,105921-jgi-mmetsp,105921,105921-jgi-mmetsp,jgi-mmetsp,0.329423839591045,0.42800212011789446,0.3787129798544697,0.013376324489712,8.934379947678288e-10,0.384650928622798,0.48322920914964745,0.4339400688862227,0.08939481028996274,1.7969328414423144e-10,0.5150915597879271,0.6136698403147767,0.5643807000513519,0.028207978447755605,7.84674505030425e-12,0.45253176744502804,0.5511100479718776,0.5018209077084528,0.011006783374427122,3.195938755185136e-11,TRUE,FALSE,TRUE,TRUE,TRUE,Cluster 4
T0-1,T0,1,107122-jgi-mmetsp,20.18834443997921,107122-jgi-mmetsp,107122,107122-jgi-mmetsp,jgi-mmetsp,-0.7440311807711278,-0.587117556335993,-0.6655743685535604,0.0044866710939684374,2.7860934242736005e-10,-0.8276513586488509,-0.6707377342137161,-0.7491945464312835,0.056542785505515766,6.854742211293504e-11,-0.7971062532549528,-0.640192628819818,-0.7186494410373854,0.10673517097801641,1.1237088877524891e-10,-0.6493825801764931,-0.49246895574135835,-0.5709257679589257,0.11056248817950677,1.687638492997784e-9,TRUE,FALSE,FALSE,FALSE,TRUE,Cluster 2
