jgi,max.exp
125465,24.41
141416&141423,24.16
84665,24.14
82560,24.05
105065,23.76
142626,23.76
79000,23.48
42195,23.45
41691,23.35
46246,23.34
85647,23.29
78378,23.21
46390,23.18
46347,23.12
12559,23.12
114497,23.09
6602,23.06
136098,23.03
142698,23
82753,22.98
