jgi,max.exp
141416&141423,24.33
125465,24.27
84665,24.25
82560,23.69
105065,23.69
79000,23.47
42195,23.41
46246,23.34
46390,23.28
43476&45796&64454&70657&100935,23.26
41691,23.25
46347,23.14
85647,23.08
78378,23.08
136098,23.05
6602,23.04
114497,23
12559,22.94
142698,22.93
145675,22.89
