name_anno,max_exp,max_exp_raw
142565,21.64,3756562.34
45370,21.64,3367465.19
44270,21.63,3824152.43
83142,21.63,3236091.65
136196,21.63,3949272.27
76810,21.63,3521278.46
42891,21.61,3353811.94
43167,21.61,3547835.4
44258,21.61,3424500.85
116011,21.61,3659443.44
142722,21.61,3400943.27
43893,21.61,3473568.92
82949,21.61,3206037.39
136607,21.6,3625889.09
71680,21.6,3320682.29
139729,21.59,3534450.36
41637,21.59,3460200
42084,21.59,3520918.26
116973,21.58,3384333.05
138951,21.58,3822115.59
48045,21.58,3608778.39
139036,21.58,3305051.5
137611,21.58,3454730.95
140755,21.58,3696859.32
138285,21.58,3428374.43
137857,21.57,3434613.41
71966,21.57,3341217.73
137433,21.57,3268730.89
46884,21.56,3330932.96
136651,21.56,3641475.31
7974,21.56,3188258.18
42438,21.56,3309668.01
138363,21.56,3333099.87
74731,21.56,3615339.03
139766,21.55,3346176.68
40066,21.55,3220282.11
7713,21.55,3130332.57
138764,21.54,3157251.96
149581,21.54,3357946.74
42941,21.54,3390589.42
46169,21.53,3330877.12
119116,21.53,3112023.03
1192,21.53,3348408.82
72646,21.53,3604582.6
82080,21.52,3292519.56
85288,21.52,3198287.33
9990,21.52,3230621
142750,21.51,2962278.6
142887,21.51,3390442.3
98848,21.51,3148301.09
45604,21.51,3493826.97
A0A6S8ESA7,21.51,3208693.06
140215,21.51,3178361.62
142921,21.51,3196451.93
46582,21.51,3453776.89
38006,21.5,3129898.87
45357,21.5,3308245.77
76848,21.5,3195263.46
A0A6S8E3I3,21.49,3188455.26
141377,21.49,3041444.44
47525,21.49,3557464.53
141707,21.48,3093591.76
79344,21.48,3595795.92
70503,21.48,3023132.08
71189,21.47,3129791.71
45444,21.47,3092902.78
43700,21.47,3110728.14
138220,21.47,3141436.12
116188,21.46,3245156.72
137280,21.45,3087159.12
42142,21.44,3136248.32
140942,21.44,2967235.95
139962,21.44,3144609.66
46782,21.44,3791915.14
69076,21.44,3250434.46
105921,21.43,3176922.5
41622,21.43,3099326.23
79063,21.42,3075393.41
140668,21.41,2905043.37
47403,21.41,2888420.7
71528,21.41,3309014.1
137670,21.41,3032956.75
137221,21.4,3406505.13
142871,21.4,2882324.6
83237,21.39,3088520.35
43908,21.38,3026846.53
138926,21.38,2986137.31
138808,21.38,3132356.74
47755,21.38,2968120.28
47930,21.38,2912389.37
42671,21.37,2971681.33
39355,21.37,3306786.59
46158,21.36,3138627.6
43822,21.36,2838700.75
70359,21.35,3438505.8
114690,21.35,2806571.79
