category,detected_m,significant_m,clu1_m,clu2_m,clu3_m,clu4_m,down_m,up_m,total_detected_m,total_sig_m,total_down_m,total_up_m,total_clu1_m,total_clu2_m,total_clu3_m,total_clu4_m,p.val_sig_vs_det_m,p.val_down_vs_sig_m,p.val_up_vs_sig_m,p.val_clu1_vs_sig_m,p.val_clu2_vs_sig_m,p.val_clu3_vs_sig_m,p.val_clu4_vs_sig_m,p.adj_sig_vs_det_m,p.adj_down_vs_sig_m,p.adj_up_vs_sig_m,p.adj_clu1_vs_sig_m,p.adj_clu2_vs_sig_m,p.adj_clu3_vs_sig_m,p.adj_clu4_vs_sig_m,test_sig_vs_det_m,test_down_vs_sig_m,test_up_vs_sig_m,test_clu1_vs_sig_m,test_clu2_vs_sig_m,test_clu3_vs_sig_m,test_clu4_vs_sig_m,FIGURE_m
ko03036,90,18,3,7,2,6,10,8,1989,416,175,241,46,129,104,137,0.10444023349553658,0.09575660133617032,0.09575660133617032,0.19390441564597663,0.14987939758298296,0.0932178195565665,0.20054165079199365,0.16555770272706555,0.1864733815493843,0.1864733815493843,0.4863608279270929,0.3080854283650205,0.3096544441910403,0.3911957728867652,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko03037,41,13,2,11,0,0,13,0,1989,416,175,241,46,129,104,137,0.03561536769788017,9.889806717480916e-6,9.889806717480916e-6,0.2673942943541313,7.353120441938838e-5,0.022284423458494837,0.0050539277787440265,0.09123127574806629,1.219742828489313e-4,1.219742828489313e-4,0.5669659117016348,0.0016472365498747627,0.13742061132738484,0.023374415976691123,NS,OVER,UNDER,NS,OVER,NS,UNDER,In figure
ko03041,56,8,0,0,1,7,0,8,1989,416,175,241,46,129,104,137,0.06607244152916177,0.012072832860913825,0.012072832860913825,0.38831655752986627,0.04977061443137072,0.26695064732002666,0.0020641966919801575,0.13581557425438806,0.037224567987817626,0.037224567987817626,0.6530778467547751,0.1534593944967264,0.41154891461837445,0.013245490103993169,NS,UNDER,OVER,NS,NS,NS,OVER,In figure
ko03051,47,15,3,12,0,0,15,0,1989,416,175,241,46,129,104,137,0.025763010509963193,1.5921999111473522e-6,1.5921999111473522e-6,0.15208450055000539,8.903981350674393e-5,0.012256254083174756,0.0021990010809702577,0.08665739898805802,2.9455698356226016e-5,2.9455698356226016e-5,0.4328558861807846,0.0016472365498747627,0.09837927350631047,0.013245490103993169,NS,OVER,UNDER,NS,OVER,NS,UNDER,In figure
ko03110,73,16,0,10,4,2,10,6,1989,416,175,241,46,129,104,137,0.11186331265342267,0.05086095274019859,0.05086095274019859,0.14782087151445372,0.00630779327948203,0.22965091149404768,0.04626748766646155,0.16555770272706555,0.12545701675915652,0.12545701675915652,0.4328558861807846,0.02593203903787057,0.41154891461837445,0.14265808697158977,NS,NS,NS,NS,OVER,NS,NS,Not in figure
ko03400,57,4,0,1,3,0,1,3,1989,416,175,241,46,129,104,137,0.00274289727377714,0.32781770469440824,0.32781770469440824,0.624669286196752,0.40893159964840936,0.046194843591652636,0.20088431580671726,0.016914533188292363,0.5053856280705461,0.5053856280705461,1,0.6577772393923521,0.21365115161139345,0.3911957728867652,UNDER,NS,NS,NS,NS,NS,NS,In figure
ko04030,3,0,0,0,0,0,0,0,1989,416,175,241,46,129,104,137,0.49443410415620415,1,1,1,1,1,1,0.5543655107205925,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko04031,32,6,3,2,0,1,5,1,1989,416,175,241,46,129,104,137,0.17113651411030548,0.04482242945129024,0.04482242945129024,0.01831040997924147,0.3292086295801808,0.17583016767649934,0.2681708099361518,0.2261446793600465,0.11845927783555277,0.11845927783555277,0.22582838974397812,0.553669058839395,0.38268918847238087,0.451014543983528,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko04054,2,0,0,0,0,0,0,0,1989,416,175,241,46,129,104,137,0.6253600031561922,1,1,1,1,1,1,0.6805388269640915,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko04090,4,0,0,0,0,0,0,0,1989,416,175,241,46,129,104,137,0.39086683964010127,1,1,1,1,1,1,0.46651848602205637,1,1,1,1,1,1,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko04091,4,1,0,0,1,0,0,1,1989,416,175,241,46,129,104,137,0.4142690580644127,0.5793269230769231,0.5793269230769231,0.8894230769230769,0.6899038461538463,0.25,0.670673076923077,0.4789985983869772,0.7938924501424502,0.7938924501424502,1,0.9454237891737893,0.41154891461837445,0.919070512820513,NS,NS,NS,NS,NS,NS,NS,Not in figure
ko04121,61,3,0,1,2,0,1,2,1989,416,175,241,46,129,104,137,3.511658138146434e-4,0.42485997501712536,0.42485997501712536,0.7029657089898055,0.44444408067050817,0.14028287061288636,0.3005986319861386,0.004331045037047269,0.6287927630253455,0.6287927630253455,1,0.6577772393923521,0.38268918847238087,0.48357171232552737,UNDER,NS,NS,NS,NS,NS,NS,In figure
ko04131,185,22,5,14,3,0,19,3,1989,416,175,241,46,129,104,137,3.27738556333761e-4,1.3523067871372757e-5,1.3523067871372757e-5,0.05746426711789745,9.574795964095969e-4,0.09940851793970512,1.1467707704198142e-4,0.004331045037047269,1.25088377810198e-4,1.25088377810198e-4,0.3589918605343572,0.007911543777160843,0.3096544441910403,0.0014143506168511042,UNDER,OVER,UNDER,NS,OVER,NS,UNDER,In figure
ko04147,193,53,8,27,7,11,35,18,1989,416,175,241,46,129,104,137,0.005048991265439554,1.0402863243787829e-4,1.0402863243787829e-4,0.10432463573383893,6.18495915606876e-4,0.013294496419771684,0.015907049748797617,0.02335158460265794,6.415099000335828e-4,6.415099000335828e-4,0.3860011522152041,0.007628116292484804,0.09837927350631047,0.058856084070551186,OVER,OVER,UNDER,NS,OVER,NS,NS,In figure
ko04812,63,8,3,4,1,0,7,1,1989,416,175,241,46,129,104,137,0.034167801003395115,0.010239118994458573,0.010239118994458573,0.041067293755433706,0.14660375468143358,0.26695064732002666,0.03958354038725998,0.09123127574806629,0.03444067298136066,0.03444067298136066,0.3589918605343572,0.3080854283650205,0.41154891461837445,0.1331446358480563,NS,OVER,UNDER,NS,NS,NS,NS,In figure
