name_anno,max_exp,max_exp_raw
139387,17.46,252478.28
78387,17.45,291464.81
61236,17.45,270958.06
81651,17.44,325436.4
148266,17.44,255595.81
78525,17.43,206014.31
A0A6S8ENU7,17.43,186125.69
55488,17.42,320621.03
46281,17.42,227874.86
60822,17.41,253229.58
44649,17.41,228696.17
72885,17.41,187498.83
7360,17.41,217808.73
141733,17.4,237610.4
139856,17.38,237738.78
134528,17.38,248599.14
85839,17.37,262002.51
6071,17.37,241701.28
13299,17.36,287636.15
923,17.36,251693.29
51093,17.36,197223.64
80217,17.34,234063.72
45886,17.34,264006.85
139349,17.32,252127.02
75760,17.31,199146.87
11945,17.31,273300.22
137556,17.29,210079.97
77259,17.29,203530.7
140594,17.28,184068.94
48202,17.28,283602.02
45426,17.27,183962.96
85848,17.27,293912.85
73524,17.26,271098.13
30729,17.26,206559.57
41938,17.26,206728.55
148186,17.26,194315.48
47663,17.25,287672.63
56410,17.23,183983.88
119507,17.22,226845.64
33810,17.21,214824.45
7760,17.2,229650
A0A6S7ZXD5,17.2,169314.48
44425,17.19,206555.03
142606,17.19,257528.38
47726,17.19,231282.69
36970,17.18,185842.83
52070,17.18,187074.47
A0A6S8CY60,17.18,185795.95
142123,17.18,216756.55
136104,17.17,167893.83
72121,17.16,183318.78
37233,17.16,167350.4
84496,17.15,156915.89
58879,17.14,233015.98
151482,17.14,192442.23
117289,17.14,179842.84
37385,17.13,210264.48
6614,17.12,182263.56
100463,17.1,176930.51
68918,17.1,191928.62
120701,17.09,143860.84
141031,17.09,235732.61
73005,17.09,221727.92
52164,17.05,233745.01
41833,17.05,218766.4
43329,17.05,162828.78
9042,17.04,259724.3
10391,17.03,216950
51759,17.02,188257.52
56028,17.01,214749.2
A0A6S8CF23,17.01,141720
4763,17,199662.35
42038,16.99,234745.43
137603,16.98,193890
68008,16.98,174720.59
115104,16.97,160568.67
74180,16.97,155862.11
62195,16.94,182532.27
140460,16.94,169395.4
65371,16.93,183045.29
6183,16.93,236296.09
46820,16.93,139445.7
68806,16.91,133424.62
85669,16.9,201613.8
127202,16.87,156772.33
57035,16.87,150824.86
62627,16.87,187521.9
36882,16.87,151980.81
137411,16.86,128928.31
2617,16.85,153297.4
44593,16.82,189935.28
36862,16.82,194637.37
83530,16.82,147396.34
59191,16.81,161091.99
136053,16.8,153389.17
42629,16.78,179712.8
141169,16.77,204692.68
146794,16.77,133550.38
35025,16.75,178032.52
9045,16.74,124234.78
44535,16.74,143702.83
10657,16.73,194666.69
59673,16.7,183491.63
131031,16.7,216932.66
44358,16.7,138914.94
98882,16.68,155593.51
104533,16.68,198973.88
72237,16.68,137788.02
117074,16.67,116302.7
133256,16.66,117887.48
71098,16.66,114337.28
138790,16.63,151487.28
67818,16.61,147322.14
95890,16.6,170660.52
69267,16.6,142155.77
48390,16.59,132357.71
6565,16.56,128397.62
141219,16.56,123492.49
50094,16.54,116365.07
30930,16.54,171431.21
65642,16.53,139980.05
6528,16.53,156335.6
723,16.53,142800.2
111272,16.52,108749.67
7320,16.52,145514.64
49718,16.43,111042.99
42999,16.42,131230
60609,16.42,115030.82
142621,16.38,173121.43
68566,16.37,124182.65
85192,16.35,120433.58
39266,16.33,140013
39845,16.33,108996.82
58538,16.33,97796.79
136202,16.31,168020.08
132432,16.3,138295.72
77776,16.28,92998.19
55702,16.27,94297.44
A0A6S8BZC5,16.26,113055.98
119716,16.19,91085.87
42102,16.18,120855.36
46143,16.17,92417.39
65544,16.12,112279.03
43575,16.04,112652.15
68209,16.01,91023.91
1723,16.01,85314.98
30057,15.99,98613.48
143233,15.98,81524.66
47679,15.98,83397.62
44826,15.97,101423.22
128408,15.96,73881.19
116642,15.93,96566.63
139058,15.92,115448.23
82739,15.91,77318.22
5856,15.9,78556.05
70792,15.69,77763
131884,15.68,86041.98
75999,15.67,86682.85
65367,15.66,77123.16
142060,15.66,64498.27
140209,15.61,73342.7
4509,15.53,60156.03
80200,15.51,59192.23
78506,15.51,63696.7
54846,15.46,80733.66
44727,15.41,51849
56086,15.4,69745
66506,15.32,48551.04
71032,15.23,69272.03
140115,15.22,54915.32
70198,15.18,67353.24
53197,15.16,54662.18
60104,15.13,56083
71990,15.1,61505.72
55668,15.06,32949
41702,15.06,49807.25
114286,14.89,35948.59
43464,14.89,33805.77
119176,14.77,30120.6
47578,14.73,35991.59
80565,14.43,35014.85
118678,13.31,16266
108201,13.13,16741.41
30852,11.84,5299.45
