"name","mmetspset_name","mmetsp_significant","jgiset_name","jgi_significant","both_significant"
"114364","A0A6S8BFU3",FALSE,"114364",FALSE,FALSE
"114447","A0A6S8DH53",FALSE,"114447",FALSE,FALSE
"114494","A0A6S8FWH9",FALSE,"114494",FALSE,FALSE
"114497","A0A6S8DH95",FALSE,"114497",FALSE,FALSE
"114559","A0A6S8BPY1",TRUE,"114559",TRUE,TRUE
"114574","A0A6S8BVK0",FALSE,"114574",FALSE,FALSE
"114676","A0A6S8G2V5",FALSE,"114676",FALSE,FALSE
"114690","A0A6S8ENG2",FALSE,"114690",TRUE,FALSE
"114787","A0A6S8EF74",FALSE,"114787",FALSE,FALSE
"114839","A0A6S8DK14",FALSE,"114839",FALSE,FALSE
"114848","A0A6S8A105",FALSE,"114848",FALSE,FALSE
"114891","A0A6S8A6G1",TRUE,"114891",TRUE,TRUE
"114895","A0A6S8FY68",FALSE,NA,NA,NA
"114974","A0A6S8ETB6",FALSE,"114974",FALSE,FALSE
"115020","A0A6S8EMC0",FALSE,"115020",FALSE,FALSE
"115025","A0A6S8B9P6",TRUE,"115025",TRUE,TRUE
"11509","A0A6S8FS50",FALSE,NA,NA,NA
"115161","A0A6S8CR83",TRUE,"115161",TRUE,TRUE
"1152","A0A6S8EI83",FALSE,"1152",FALSE,FALSE
"115200","A0A6S8B7N6",TRUE,"115200",TRUE,TRUE
"115215","A0A6S8F358",TRUE,"115215",FALSE,FALSE
"115261","A0A6S8AEF5",FALSE,"115261",FALSE,FALSE
"115297","A0A6S8AZP2",FALSE,"115297",FALSE,FALSE
"115356","A0A6S8FEG0",FALSE,"115356",FALSE,FALSE
"115370","A0A6S8D271",FALSE,"115370",FALSE,FALSE
"115433","A0A6S8AE85",FALSE,"115433",FALSE,FALSE
"115514","A0A6S8FI20",TRUE,"115514",TRUE,TRUE
"115560","A0A6S8BED3",FALSE,NA,NA,NA
"11565","A0A6S8CLG1",FALSE,"11565",FALSE,FALSE
"115677","A0A6S7ZUT8",FALSE,"115677",FALSE,FALSE
"115689","A0A6S8AQZ0",TRUE,"115689",TRUE,TRUE
"115815","A0A6S8CGZ9",FALSE,"115815",FALSE,FALSE
"115866","A0A6S8DBD5",FALSE,"115866",FALSE,FALSE
"115994","A0A6S8CTM2",FALSE,NA,NA,NA
"116011","A0A6S8DDM4",TRUE,"116011",FALSE,FALSE
"116061","A0A6S8DBA1",FALSE,NA,NA,NA
"116088","A0A6S8BBM6",FALSE,NA,NA,NA
"116136","A0A6S8EA08",FALSE,"116136",FALSE,FALSE
"116157","A0A6S8C2K2",FALSE,"116157",FALSE,FALSE
"116188","A0A6S7ZFQ3",TRUE,"116188",TRUE,TRUE
"116230","A0A6S8B9Q9",FALSE,"116230",FALSE,FALSE
"116372","A0A6S8FWN1",FALSE,"116372",FALSE,FALSE
"116402","A0A6S8FXS5",FALSE,"116402",FALSE,FALSE
"116490","A0A6S7ZQB6",TRUE,"116490",TRUE,TRUE
"116520","A0A6S8CKN5",FALSE,"116520",FALSE,FALSE
"116535","A0A6S8AUA3",FALSE,"116535",FALSE,FALSE
"116567","A0A6S8FRV1",FALSE,NA,NA,NA
"116636","A0A6S8GUT8",FALSE,NA,NA,NA
"11676","A0A6S8GA60",FALSE,"11676",FALSE,FALSE
"116783","A0A6S8FY99",FALSE,NA,NA,NA
"116796","A0A6S8AR49",FALSE,"116796",FALSE,FALSE
"116813","A0A6S8B0Z5",FALSE,"116813",FALSE,FALSE
"116830","A0A6S8EIX4",FALSE,NA,NA,NA
"116918","A0A6S8ERH6",FALSE,NA,NA,NA
"116973","A0A6S8G6F7",TRUE,"116973",TRUE,TRUE
"116995","A0A6S8F8I6",FALSE,"116995",FALSE,FALSE
"117061","A0A6S8DEE9",FALSE,"117061",TRUE,FALSE
"117106","A0A6S8EKY2",FALSE,"117106",FALSE,FALSE
"117116","A0A6S8F7Q0",FALSE,"117116",FALSE,FALSE
"117182","A0A6S8FC05",FALSE,"117182",FALSE,FALSE
"117249","A0A6S7ZSN5",TRUE,"117249",FALSE,FALSE
"117291","A0A6S8B9C1",TRUE,"117291",TRUE,TRUE
"117319","A0A6S8D436",FALSE,"117319",FALSE,FALSE
"117391","A0A6S8EBZ4",FALSE,NA,NA,NA
"117395","A0A6S8D666",FALSE,"117395",FALSE,FALSE
"117443","A0A6S8G3U7",FALSE,"117443",FALSE,FALSE
"11757","A0A6S8C180",FALSE,"11757",FALSE,FALSE
"117613","A0A6S8FKF4",FALSE,NA,NA,NA
"117698","A0A6S8AXC0",FALSE,"117698",FALSE,FALSE
"117705","A0A6S8EF63",FALSE,"117705",FALSE,FALSE
"117708","A0A6S8BD20",FALSE,"117708",FALSE,FALSE
"117711","A0A6S8DVN0",FALSE,"117711",FALSE,FALSE
"117715","A0A6S8DXS8",FALSE,"117715",FALSE,FALSE
"117796","A0A6S8GHH9",FALSE,"117796",FALSE,FALSE
"117814","A0A6S7ZY32",FALSE,"117814",FALSE,FALSE
"117948","A0A6S8A065",FALSE,"117948",FALSE,FALSE
"117995","A0A6S8E7H3",TRUE,"117995",TRUE,TRUE
"118107","A0A6S8AVE1",FALSE,"118107",FALSE,FALSE
"118108","A0A6S8BKH7",FALSE,"118108",FALSE,FALSE
"118179","A0A6S8E6X9",FALSE,"118179",FALSE,FALSE
"118187","A0A6S8AJY1",FALSE,"118187",FALSE,FALSE
"118211","A0A6S8BDA9",FALSE,"118211",FALSE,FALSE
"118212","A0A6S8E7T1",FALSE,"118212",FALSE,FALSE
"118227","A0A6S8CPZ5",FALSE,"118227",FALSE,FALSE
"118266","A0A6S8C1R4",TRUE,"118266",TRUE,TRUE
"11827","A0A6S8A305",FALSE,"11827",FALSE,FALSE
"118329","A0A6S7ZY47",TRUE,"118329",TRUE,TRUE
"118435","A0A6S8CJU9",FALSE,NA,NA,NA
"118443","A0A6S8FRT4",TRUE,"118443",FALSE,FALSE
"118528","A0A6S8DVA0",FALSE,"118528",FALSE,FALSE
"118550","A0A6S8AJ72",FALSE,"118550",FALSE,FALSE
"118552","A0A6S8FJZ3",FALSE,"118552",FALSE,FALSE
"118681","A0A6S8EV12",FALSE,"118681",FALSE,FALSE
"118689","A0A6S8D065",FALSE,"118689",FALSE,FALSE
"118705","A0A6S8CKE6",FALSE,"118705",FALSE,FALSE
"118708","A0A6S8FTC4",FALSE,"118708",FALSE,FALSE
"118763","A0A6S8G9A7",FALSE,"118763",FALSE,FALSE
"118830","A0A6S8D5J8",FALSE,"118830",FALSE,FALSE
"118859","A0A6S7ZQ31",FALSE,NA,NA,NA
"118880","A0A6S8BUS8",FALSE,"118880",FALSE,FALSE
"118892","A0A6S8D2G0",FALSE,"118892",FALSE,FALSE
"118906","A0A6S8BCY3",FALSE,"118906",FALSE,FALSE
"118957","A0A6S7ZK66",FALSE,"118957",FALSE,FALSE
"118959","A0A6S8CX35",FALSE,NA,NA,NA
"118967","A0A6S8DVF9",TRUE,"118967",TRUE,TRUE
"119058","A0A6S8EDM6",FALSE,"119058",FALSE,FALSE
"119116","A0A6S8BFD7",TRUE,"119116",FALSE,FALSE
"119142","A0A6S8G2I7",FALSE,"119142",FALSE,FALSE
"119199","A0A6S7ZXG2",TRUE,"119199",FALSE,FALSE
"1192","A0A6S8ATP6",FALSE,"1192",FALSE,FALSE
"119202","A0A6S8AC80",TRUE,"119202",TRUE,TRUE
"119324","A0A6S8AY05",FALSE,"119324",FALSE,FALSE
"119343","A0A6S8EUB5",TRUE,"119343",TRUE,TRUE
"119464","A0A6S8AE91",TRUE,"119464",FALSE,FALSE
"119483","A0A6S8BC09",FALSE,"119483",FALSE,FALSE
"119535","A0A6S7ZT18",FALSE,"119535",FALSE,FALSE
"119545","A0A6S8FRG0",FALSE,"119545",TRUE,FALSE
"11960","A0A6S8EXN2",FALSE,NA,NA,NA
"119619","A0A6S8B9J1",FALSE,"119619",FALSE,FALSE
"11964","A0A6S8DGN0",FALSE,"11964",FALSE,FALSE
"119640","A0A6S7ZIX7",FALSE,"119640",FALSE,FALSE
"119642","A0A6S8GCF3",FALSE,"119642",FALSE,FALSE
"119664","A0A6S8DK56",FALSE,"119664",FALSE,FALSE
"119782","A0A6S8DB17",FALSE,"119782",FALSE,FALSE
"119820","A0A6S8BMR0",FALSE,NA,NA,NA
"119880","A0A6S8A3R0",FALSE,NA,NA,NA
"119951","A0A6S8FAH1",FALSE,"119951",FALSE,FALSE
"120109","A0A6S8EWE2",FALSE,"120109",TRUE,FALSE
"120112","A0A6S8DAM6",FALSE,"120112",FALSE,FALSE
"120126","A0A6S8B0H6",TRUE,"120126",TRUE,TRUE
"120262","A0A6S7ZPU6",FALSE,"120262",FALSE,FALSE
"120311","A0A6S8D321",FALSE,NA,NA,NA
"120334","A0A6S8GCU9",FALSE,"120334",FALSE,FALSE
"120406","A0A6S8GDB2",FALSE,"120406",FALSE,FALSE
"120414","A0A6S8DYB4",FALSE,"120414",FALSE,FALSE
"120443","A0A6S8AGB1",FALSE,"120443",FALSE,FALSE
"120461","A0A6S8C061",FALSE,"120461",FALSE,FALSE
"120462","A0A6S8FCT9",FALSE,"120462",FALSE,FALSE
"120530","A0A6S8EN82",FALSE,"120530",FALSE,FALSE
"120536","A0A6S8D530",FALSE,"120536",FALSE,FALSE
"12067","A0A6S8BC51",FALSE,"12067",FALSE,FALSE
"120806","A0A6S7ZGU4",FALSE,"120806",FALSE,FALSE
"120981","A0A6S8BPU8",FALSE,"120981",FALSE,FALSE
"12104","A0A6S8F3X7",FALSE,"12104",FALSE,FALSE
"121490","A0A6S7ZQI5",FALSE,"121490",FALSE,FALSE
"121543","A0A6S7ZTZ8",FALSE,"121543",FALSE,FALSE
"121695","A0A6S7ZV93",FALSE,"121695",FALSE,FALSE
"12195","A0A6S8E824",FALSE,"12195",FALSE,FALSE
"122551","A0A6S8CPM9",FALSE,"122551",FALSE,FALSE
"122619","A0A6S8FA36",FALSE,"122619",FALSE,FALSE
"122650","A0A6S8EQC5",FALSE,"122650",FALSE,FALSE
"12282","A0A6S8ANL5",FALSE,"12282",FALSE,FALSE
"123094","A0A6S7ZRS3",FALSE,"123094",FALSE,FALSE
"123422","A0A6S8FBP6",FALSE,NA,NA,NA
"123630","A0A6S8AIC3",FALSE,"123630",FALSE,FALSE
"123799","A0A6S8AWH6",FALSE,"123799",FALSE,FALSE
"123824","A0A6S8CKA3",TRUE,"123824",FALSE,FALSE
"12401","A0A6S8F0P1",FALSE,"12401",FALSE,FALSE
"124035","A0A6S8FB44",TRUE,"124035",TRUE,TRUE
"124376","A0A6S8CMA4",FALSE,NA,NA,NA
"12458","A0A6S8E5W4",FALSE,NA,NA,NA
"124602","A0A6S8AJQ4",FALSE,"124602",FALSE,FALSE
