"cluster","Aplke1.FilteredModels1","Aurli1.FilteredModels1","Honfer1.CEA_gene_models","LabyHa_1.DU_gene_models","Schag1.FilteredModels1","TOTAL"
223,4,5,4,1,5,19
224,4,1,2,7,5,19
225,19,0,0,0,0,19
226,8,3,6,0,2,19
227,7,2,2,6,2,19
228,2,7,3,2,5,19
229,4,4,3,3,5,19
230,17,0,0,2,0,19
231,5,6,3,1,4,19
232,1,0,2,15,1,19
233,5,4,7,2,1,19
234,5,4,3,3,4,19
235,6,3,4,3,3,19
236,4,2,9,0,4,19
237,3,3,6,4,3,19
238,4,5,4,2,4,19
239,7,2,3,4,3,19
240,7,5,3,0,4,19
241,3,4,4,4,4,19
242,4,4,4,3,4,19
243,4,7,5,0,3,19
244,9,3,2,3,2,19
245,0,5,10,0,4,19
246,0,5,5,4,5,19
247,7,3,2,1,5,18
248,4,3,3,4,4,18
249,6,3,3,2,4,18
250,4,4,3,2,5,18
251,4,4,3,2,5,18
252,9,1,1,7,0,18
253,3,5,4,2,4,18
254,9,5,3,0,1,18
255,4,4,4,2,4,18
256,8,4,3,1,2,18
257,4,9,1,0,4,18
258,5,4,3,1,5,18
259,3,4,4,3,4,18
260,4,5,4,1,4,18
261,4,3,3,3,5,18
262,4,6,5,0,3,18
263,3,4,4,3,4,18
264,3,4,4,2,5,18
265,6,3,3,1,5,18
266,5,0,0,10,3,18
267,8,3,3,0,4,18
268,5,4,2,4,3,18
269,3,4,4,2,5,18
270,5,5,3,3,2,18
271,5,3,2,5,3,18
272,0,11,3,3,1,18
273,0,8,3,2,5,18
274,0,9,6,0,3,18
275,1,2,12,0,3,18
276,0,15,2,0,1,18
277,5,4,4,0,4,17
278,3,3,3,3,5,17
279,3,4,3,3,4,17
280,4,3,3,4,3,17
281,5,3,3,2,4,17
282,6,3,3,2,3,17
283,2,5,1,1,8,17
284,6,5,5,0,1,17
285,3,3,2,2,7,17
286,5,4,4,3,1,17
287,7,3,3,1,3,17
288,2,5,4,3,3,17
289,3,7,0,1,6,17
290,3,3,3,5,3,17
291,4,4,4,2,3,17
292,3,4,2,4,4,17
293,0,7,6,0,4,17
294,0,11,5,0,1,17
295,0,0,0,17,0,17
296,0,6,7,0,4,17
297,0,4,2,10,1,17
298,0,11,4,0,2,17
299,0,0,0,17,0,17
300,0,0,0,16,1,17
301,0,0,0,17,0,17
302,5,2,1,7,1,16
303,3,3,3,5,2,16
304,8,3,3,2,0,16
305,4,2,3,5,2,16
306,3,3,3,4,3,16
307,3,3,4,3,3,16
308,4,3,4,2,3,16
309,3,4,3,2,4,16
310,2,5,3,2,4,16
311,3,3,4,2,4,16
312,6,2,2,1,5,16
313,4,3,3,3,3,16
314,1,4,3,2,6,16
315,3,4,3,3,3,16
316,5,2,1,6,2,16
317,2,4,4,2,4,16
318,3,0,1,11,1,16
319,5,2,2,5,2,16
320,3,2,2,6,3,16
321,3,5,3,1,4,16
322,3,4,3,3,3,16
323,0,6,5,0,5,16
324,0,0,0,16,0,16
325,0,6,3,3,4,16
326,4,3,3,1,4,15
327,10,1,2,1,1,15
328,4,4,4,2,1,15
329,6,4,1,2,2,15
330,2,4,2,4,3,15
331,5,3,2,3,2,15
332,2,5,4,0,4,15
333,3,5,0,0,7,15
334,2,4,4,2,3,15
335,7,3,5,0,0,15
336,5,3,2,2,3,15
337,5,3,3,1,3,15
338,4,6,0,2,3,15
339,12,0,1,0,2,15
340,5,3,3,1,3,15
341,4,4,3,1,3,15
342,2,6,4,2,1,15
343,15,0,0,0,0,15
344,4,4,3,2,2,15
345,3,4,4,1,3,15
346,5,3,3,2,2,15
347,2,4,3,3,3,15
348,2,3,3,2,5,15
349,3,4,4,1,3,15
350,2,5,3,1,4,15
351,2,3,3,4,3,15
352,2,4,3,2,4,15
353,3,3,3,3,3,15
354,0,6,5,1,3,15
355,0,15,0,0,0,15
356,0,6,4,0,5,15
357,1,5,3,0,6,15
