"cluster","Aplke1.FilteredModels1","Aurli1.FilteredModels1","Honfer1.CEA_gene_models","LabyHa_1.DU_gene_models","Schag1.FilteredModels1","TOTAL"
3256,1,1,1,1,1,5
3257,1,1,1,1,1,5
3258,1,1,1,1,1,5
3259,1,1,1,1,1,5
3260,1,1,1,1,1,5
3261,1,1,1,1,1,5
3262,1,1,1,1,1,5
3263,1,1,1,1,1,5
3264,1,1,1,1,1,5
3265,1,1,1,1,1,5
3266,1,1,1,1,1,5
3267,1,1,1,1,1,5
3268,1,1,1,1,1,5
3269,1,1,1,1,1,5
3270,1,1,1,1,1,5
3271,1,1,1,1,1,5
3272,1,1,1,1,1,5
3273,1,1,1,2,0,5
3274,1,2,2,0,0,5
3275,1,1,1,1,1,5
3276,1,1,1,1,1,5
3277,1,1,1,1,1,5
3278,1,1,1,1,1,5
3279,1,1,1,1,1,5
3280,1,1,1,1,1,5
3281,1,1,1,1,1,5
3282,1,1,1,1,1,5
3283,1,1,1,1,1,5
3284,1,1,1,1,1,5
3285,1,1,1,1,1,5
3286,1,1,1,1,1,5
3287,1,1,1,1,1,5
3288,1,1,1,1,1,5
3289,1,1,1,1,1,5
3290,1,1,1,1,1,5
3291,1,2,1,0,1,5
3292,1,1,1,1,1,5
3293,1,1,1,1,1,5
3294,1,1,1,1,1,5
3295,1,1,1,1,1,5
3296,1,1,1,1,1,5
3297,1,1,1,1,1,5
3298,1,1,1,1,1,5
3299,1,1,1,1,1,5
3300,1,2,1,0,1,5
3301,1,2,1,0,1,5
3302,1,1,1,1,1,5
3303,1,1,1,1,1,5
3304,1,1,1,1,1,5
3305,1,2,1,0,1,5
3306,1,1,1,1,1,5
3307,1,1,1,1,1,5
3308,1,1,1,1,1,5
3309,1,1,1,1,1,5
3310,1,1,1,1,1,5
3311,1,1,1,1,1,5
3312,1,1,1,1,1,5
3313,1,1,1,1,1,5
3314,1,1,1,1,1,5
3315,1,1,1,1,1,5
3316,1,1,1,1,1,5
3317,1,1,1,1,1,5
3318,1,1,1,1,1,5
3319,1,1,1,1,1,5
3320,1,1,1,1,1,5
3321,1,1,1,1,1,5
3322,1,1,1,1,1,5
3323,1,1,1,1,1,5
3324,1,2,1,0,1,5
3325,1,1,1,1,1,5
3326,1,1,1,1,1,5
3327,1,1,1,1,1,5
3328,0,2,1,0,2,5
3329,1,1,1,1,1,5
3330,2,1,1,0,1,5
3331,1,1,1,1,1,5
3332,1,1,1,1,1,5
3333,1,1,1,1,1,5
3334,1,1,1,1,1,5
3335,1,1,1,1,1,5
3336,1,1,1,1,1,5
3337,1,1,1,1,1,5
3338,1,1,1,1,1,5
3339,1,1,1,1,1,5
3340,1,1,1,0,2,5
3341,1,1,1,1,1,5
3342,1,2,1,0,1,5
3343,1,1,1,1,1,5
3344,1,1,1,1,1,5
3345,1,1,1,1,1,5
3346,1,1,1,1,1,5
3347,1,1,1,1,1,5
3348,1,1,1,1,1,5
3349,1,1,1,1,1,5
3350,1,1,1,1,1,5
3351,1,1,1,1,1,5
3352,1,1,1,1,1,5
3353,1,1,1,1,1,5
3354,1,1,1,1,1,5
3355,1,1,1,1,1,5
3356,1,1,1,1,1,5
3357,1,1,1,1,1,5
3358,1,1,1,1,1,5
3359,1,1,1,1,1,5
3360,1,1,1,1,1,5
3361,1,1,1,1,1,5
3362,1,2,1,0,1,5
3363,1,1,1,1,1,5
3364,1,1,1,1,1,5
3365,1,1,1,1,1,5
3366,1,2,1,1,0,5
3367,1,1,1,1,1,5
3368,1,1,1,1,1,5
3369,1,1,1,1,1,5
3370,1,1,1,1,1,5
3371,1,1,1,1,1,5
3372,1,2,1,0,1,5
3373,1,1,1,1,1,5
3374,1,1,1,1,1,5
3375,1,1,1,1,1,5
3376,1,2,1,0,1,5
3377,1,1,1,1,1,5
3378,1,1,1,1,1,5
3379,1,1,1,1,1,5
3380,1,1,1,1,1,5
3381,1,1,1,1,1,5
3382,1,1,1,1,1,5
3383,1,1,1,1,1,5
3384,1,0,1,1,2,5
3385,1,1,1,1,1,5
3386,1,1,1,1,1,5
3387,1,1,1,1,1,5
3388,1,1,1,1,1,5
3389,1,1,1,1,1,5
3390,1,1,1,1,1,5
3391,1,1,1,1,1,5
3392,1,1,1,1,1,5
3393,1,1,1,1,1,5
3394,1,1,1,1,1,5
3395,1,1,1,1,1,5
3396,1,1,1,1,1,5
3397,1,1,0,2,1,5
3398,1,1,1,0,2,5
3399,1,1,1,1,1,5
3400,1,1,1,1,1,5
3401,1,1,1,1,1,5
3402,1,1,1,1,1,5
3403,1,1,1,1,1,5
3404,1,1,1,1,1,5
3405,1,1,1,1,1,5
3406,1,1,1,0,2,5
3407,0,2,1,1,1,5
3408,1,1,1,1,1,5
3409,1,1,1,1,1,5
3410,1,1,1,1,1,5
3411,1,1,1,1,1,5
3412,1,1,1,0,2,5
3413,1,1,1,1,1,5
3414,1,1,1,1,1,5
3415,1,1,1,1,1,5
3416,1,1,1,1,1,5
3417,1,1,1,1,1,5
3418,1,1,1,1,1,5
3419,1,1,1,1,1,5
3420,1,1,1,1,1,5
3421,1,1,1,1,1,5
3422,1,1,1,1,1,5
3423,0,1,3,0,1,5
3424,1,1,2,0,1,5
3425,1,1,2,0,1,5
3426,1,1,1,1,1,5
3427,1,1,1,1,1,5
3428,1,1,1,1,1,5
3429,0,0,4,1,0,5
3430,1,1,1,1,1,5
3431,0,0,1,0,4,5
3432,0,1,3,0,1,5
3433,2,1,1,0,1,5
3434,0,1,3,0,1,5
3435,0,2,1,0,2,5
3436,1,0,1,0,3,5
3437,1,1,1,1,1,5
3438,1,1,1,1,1,5
3439,0,1,4,0,0,5
3440,1,2,1,0,1,5
3441,1,1,1,1,1,5
3442,1,0,1,1,2,5
3443,1,1,1,1,1,5
3444,1,1,2,0,1,5
3445,0,0,1,0,4,5
3446,0,0,1,4,0,5
3447,0,0,0,4,1,5
3448,0,0,0,5,0,5
3449,1,0,0,4,0,5
3450,1,1,1,1,1,5
3451,0,0,0,4,1,5
3452,2,0,0,2,1,5
3453,1,0,0,3,1,5
3454,1,1,1,1,1,5
3455,0,0,0,5,0,5
3456,0,0,0,5,0,5
3457,0,0,0,5,0,5
3458,0,0,0,5,0,5
3459,1,2,1,0,1,5
3460,0,0,0,0,5,5
3461,0,2,2,0,1,5
3462,1,1,2,0,1,5
3463,0,2,1,0,2,5
3464,0,0,0,0,5,5
3465,0,2,1,0,2,5
3466,0,5,0,0,0,5
3467,0,2,3,0,0,5
3468,0,2,2,1,0,5
3469,0,3,0,0,2,5
3470,0,5,0,0,0,5
3471,0,2,2,0,1,5
3472,0,5,0,0,0,5
3473,0,3,1,0,1,5
3474,0,2,1,0,2,5
3475,0,3,1,0,1,5
3476,0,5,0,0,0,5
3477,0,5,0,0,0,5
3478,0,4,1,0,0,5
3479,0,2,1,1,1,5
3480,0,2,2,0,1,5
3481,0,2,2,0,1,5
3482,0,2,2,0,1,5
3483,0,1,4,0,0,5
3484,0,1,1,1,2,5
3485,0,2,3,0,0,5
3486,0,4,1,0,0,5
3487,0,4,1,0,0,5
3488,0,2,3,0,0,5
3489,0,2,2,0,1,5
3490,0,2,3,0,0,5
3491,0,2,3,0,0,5
3492,0,1,1,2,1,5
3493,0,2,3,0,0,5
3494,0,2,1,2,0,5
3495,0,2,2,0,1,5
3496,0,2,2,0,1,5
3497,0,2,2,0,1,5
3498,0,2,1,0,2,5
3499,0,1,1,1,2,5
3500,0,3,2,0,0,5
3501,0,1,2,0,2,5
3502,0,2,3,0,0,5
3503,0,2,3,0,0,5
3504,0,3,1,0,1,5
3505,0,1,3,0,1,5
3506,0,1,3,0,1,5
3507,0,1,4,0,0,5
3508,0,1,1,1,2,5
3509,0,1,1,0,3,5
3510,0,1,2,0,2,5
3511,0,1,2,0,2,5
3512,0,1,3,0,1,5
3513,0,1,1,2,1,5
3514,0,2,1,0,2,5
3515,0,2,1,0,2,5
3516,0,1,1,1,2,5
3517,0,1,1,0,3,5
3518,0,1,2,1,1,5
3519,0,2,1,0,2,5
3520,0,0,0,0,5,5
3521,0,0,2,3,0,5
3522,0,0,5,0,0,5
3523,0,0,4,0,1,5
3524,0,0,5,0,0,5
3525,0,0,1,0,4,5
3526,0,0,0,5,0,5
3527,0,0,0,5,0,5
3528,0,0,0,5,0,5
3529,0,0,0,5,0,5
3530,0,0,0,0,5,5
3531,0,0,0,0,5,5
3532,1,1,1,0,1,4
3533,1,1,1,0,1,4
3534,1,1,1,0,1,4
3535,1,1,1,0,1,4
3536,1,1,1,0,1,4
3537,1,1,1,0,1,4
3538,1,1,1,0,1,4
3539,1,1,1,0,1,4
3540,1,1,1,0,1,4
3541,2,0,0,2,0,4
3542,1,1,1,0,1,4
3543,1,1,1,0,1,4
3544,2,1,1,0,0,4
3545,1,1,1,0,1,4
3546,1,1,1,0,1,4
3547,4,0,0,0,0,4
3548,1,1,2,0,0,4
3549,1,1,1,1,0,4
3550,1,1,1,0,1,4
3551,4,0,0,0,0,4
3552,1,1,1,0,1,4
3553,1,1,1,0,1,4
3554,1,1,1,0,1,4
3555,1,1,1,0,1,4
3556,1,1,2,0,0,4
3557,4,0,0,0,0,4
3558,1,1,1,0,1,4
3559,1,1,1,1,0,4
3560,1,1,1,0,1,4
3561,1,1,1,0,1,4
3562,2,1,1,0,0,4
3563,1,1,1,1,0,4
3564,1,1,0,1,1,4
3565,1,1,1,1,0,4
3566,4,0,0,0,0,4
3567,1,1,0,2,0,4
3568,4,0,0,0,0,4
3569,1,1,1,0,1,4
3570,1,1,1,0,1,4
3571,1,1,1,1,0,4
3572,1,2,1,0,0,4
3573,1,1,1,1,0,4
3574,1,0,1,1,1,4
3575,1,1,1,1,0,4
3576,1,1,1,1,0,4
3577,1,1,0,1,1,4
3578,2,1,1,0,0,4
3579,1,1,1,0,1,4
3580,1,1,1,0,1,4
3581,1,1,1,0,1,4
3582,1,1,1,0,1,4
3583,1,1,1,0,1,4
3584,1,1,1,0,1,4
3585,4,0,0,0,0,4
3586,1,0,0,0,3,4
3587,4,0,0,0,0,4
3588,1,1,1,0,1,4
3589,1,1,1,0,1,4
3590,1,1,1,1,0,4
3591,1,1,1,0,1,4
3592,2,1,0,1,0,4
3593,1,1,1,0,1,4
3594,1,1,1,0,1,4
3595,1,1,1,0,1,4
3596,1,1,0,1,1,4
3597,2,0,0,2,0,4
3598,1,1,1,0,1,4
3599,4,0,0,0,0,4
3600,1,1,0,1,1,4
3601,1,1,1,0,1,4
3602,1,1,1,0,1,4
3603,1,1,1,0,1,4
3604,1,1,1,0,1,4
3605,1,1,1,0,1,4
3606,1,1,1,0,1,4
3607,1,1,1,0,1,4
3608,1,1,1,1,0,4
3609,3,0,0,1,0,4
3610,1,1,1,0,1,4
3611,1,1,1,0,1,4
3612,3,0,1,0,0,4
3613,2,1,1,0,0,4
3614,1,1,1,0,1,4
3615,1,1,1,0,1,4
3616,4,0,0,0,0,4
3617,1,1,1,0,1,4
3618,1,1,1,1,0,4
3619,1,1,1,0,1,4
3620,1,1,1,0,1,4
3621,1,0,1,1,1,4
3622,1,1,1,0,1,4
3623,1,1,1,1,0,4
3624,1,1,1,0,1,4
3625,1,1,1,1,0,4
3626,1,1,1,0,1,4
3627,1,1,1,1,0,4
3628,1,1,0,1,1,4
3629,1,1,1,0,1,4
3630,4,0,0,0,0,4
3631,1,1,1,1,0,4
3632,4,0,0,0,0,4
3633,1,1,1,0,1,4
3634,4,0,0,0,0,4
3635,1,1,1,0,1,4
3636,1,1,1,0,1,4
3637,2,0,2,0,0,4
3638,2,0,0,1,1,4
3639,1,1,1,0,1,4
3640,1,1,1,0,1,4
3641,1,1,1,0,1,4
3642,1,0,0,3,0,4
3643,2,1,1,0,0,4
3644,3,0,0,1,0,4
3645,1,0,1,2,0,4
3646,1,1,1,0,1,4
3647,1,1,1,0,1,4
3648,4,0,0,0,0,4
3649,1,1,1,0,1,4
3650,1,1,0,1,1,4
3651,1,1,1,0,1,4
3652,2,0,0,2,0,4
3653,1,1,1,1,0,4
3654,2,0,0,2,0,4
3655,1,1,1,0,1,4
3656,1,1,1,1,0,4
3657,1,1,1,0,1,4
3658,1,1,1,0,1,4
3659,1,1,1,0,1,4
3660,1,0,1,2,0,4
3661,1,1,1,0,1,4
3662,3,0,0,1,0,4
3663,1,1,1,1,0,4
3664,1,1,1,0,1,4
3665,1,1,1,0,1,4
3666,1,1,1,0,1,4
3667,1,1,1,0,1,4
3668,1,1,1,0,1,4
3669,2,1,1,0,0,4
3670,3,0,0,1,0,4
3671,2,0,1,1,0,4
3672,1,1,1,0,1,4
3673,1,1,1,1,0,4
3674,1,1,1,0,1,4
3675,1,1,1,0,1,4
3676,1,1,1,0,1,4
3677,1,1,1,0,1,4
3678,1,1,1,0,1,4
3679,1,0,0,1,2,4
3680,2,0,0,1,1,4
3681,1,1,1,0,1,4
3682,2,1,1,0,0,4
3683,2,0,0,2,0,4
3684,2,1,0,0,1,4
3685,1,1,1,0,1,4
3686,1,1,1,0,1,4
3687,1,1,1,0,1,4
3688,1,1,1,0,1,4
3689,1,1,0,1,1,4
3690,1,1,1,0,1,4
3691,1,1,1,0,1,4
3692,1,1,1,0,1,4
3693,1,1,1,1,0,4
3694,1,1,1,0,1,4
3695,1,1,1,0,1,4
3696,1,1,1,0,1,4
3697,1,1,1,0,1,4
3698,4,0,0,0,0,4
3699,4,0,0,0,0,4
3700,1,0,0,3,0,4
3701,1,1,1,0,1,4
3702,1,1,1,1,0,4
3703,1,1,1,0,1,4
3704,1,1,1,0,1,4
3705,2,1,1,0,0,4
3706,1,1,1,0,1,4
3707,1,1,1,0,1,4
3708,1,1,1,0,1,4
3709,2,0,1,0,1,4
3710,4,0,0,0,0,4
3711,1,1,1,0,1,4
3712,1,1,0,1,1,4
3713,1,1,1,0,1,4
3714,2,0,0,2,0,4
3715,1,1,1,0,1,4
3716,1,1,1,1,0,4
3717,1,1,1,0,1,4
3718,1,1,1,1,0,4
3719,1,1,1,0,1,4
3720,3,0,0,1,0,4
3721,3,0,0,1,0,4
3722,1,1,1,1,0,4
3723,1,1,1,1,0,4
3724,1,1,1,0,1,4
3725,1,1,1,0,1,4
3726,2,1,0,0,1,4
3727,1,1,1,0,1,4
3728,1,1,1,0,1,4
3729,2,0,0,0,2,4
3730,1,0,1,1,1,4
3731,1,1,1,0,1,4
3732,1,1,1,0,1,4
3733,1,1,1,0,1,4
3734,1,1,1,0,1,4
3735,1,0,0,3,0,4
3736,1,1,1,0,1,4
3737,3,0,0,0,1,4
3738,1,1,1,0,1,4
3739,1,1,2,0,0,4
3740,2,1,0,1,0,4
3741,1,1,1,0,1,4
3742,1,1,1,0,1,4
3743,1,1,1,0,1,4
3744,1,1,1,1,0,4
3745,1,1,1,1,0,4
3746,1,1,1,0,1,4
3747,1,1,1,0,1,4
3748,1,1,1,0,1,4
3749,1,1,1,0,1,4
3750,1,1,1,0,1,4
3751,2,0,1,0,1,4
3752,1,1,1,1,0,4
3753,1,1,1,0,1,4
3754,1,1,1,0,1,4
3755,4,0,0,0,0,4
3756,1,1,1,0,1,4
3757,1,1,1,0,1,4
3758,1,1,1,0,1,4
3759,1,1,1,0,1,4
3760,2,1,1,0,0,4
3761,1,1,1,0,1,4
3762,1,1,1,0,1,4
3763,1,1,1,0,1,4
3764,3,0,0,1,0,4
3765,1,1,2,0,0,4
3766,1,1,1,1,0,4
3767,1,1,1,0,1,4
3768,1,1,0,1,1,4
3769,1,1,1,1,0,4
3770,1,1,1,0,1,4
3771,1,1,1,0,1,4
3772,1,1,1,0,1,4
3773,1,1,1,1,0,4
3774,1,1,1,1,0,4
3775,1,1,1,1,0,4
3776,1,1,1,0,1,4
3777,1,1,1,0,1,4
3778,1,1,1,0,1,4
3779,1,0,0,2,1,4
3780,1,1,1,1,0,4
3781,1,1,1,0,1,4
3782,1,1,1,0,1,4
3783,1,1,1,0,1,4
3784,1,1,1,1,0,4
3785,1,1,1,0,1,4
3786,1,0,0,3,0,4
3787,3,0,1,0,0,4
3788,1,1,1,0,1,4
3789,1,1,1,0,1,4
3790,1,1,1,1,0,4
3791,1,1,1,0,1,4
3792,1,1,1,0,1,4
3793,1,1,0,1,1,4
3794,1,1,1,0,1,4
3795,1,1,1,0,1,4
3796,1,1,1,0,1,4
3797,3,0,0,0,1,4
3798,1,1,1,0,1,4
3799,1,1,1,0,1,4
3800,1,1,1,0,1,4
3801,1,1,1,0,1,4
3802,2,1,0,0,1,4
3803,1,1,1,0,1,4
3804,1,1,1,0,1,4
3805,1,1,1,0,1,4
3806,2,1,1,0,0,4
3807,1,1,1,0,1,4
3808,2,1,1,0,0,4
3809,1,1,1,0,1,4
3810,1,1,1,0,1,4
3811,1,1,1,1,0,4
3812,1,1,1,1,0,4
3813,1,1,1,0,1,4
3814,2,1,0,0,1,4
3815,1,1,1,1,0,4
3816,1,1,1,1,0,4
3817,1,1,1,0,1,4
3818,1,1,1,0,1,4
3819,1,1,1,1,0,4
3820,2,1,0,1,0,4
3821,4,0,0,0,0,4
3822,2,1,1,0,0,4
3823,1,1,1,0,1,4
3824,2,0,0,2,0,4
3825,1,1,1,0,1,4
3826,1,1,1,0,1,4
3827,1,1,1,0,1,4
3828,3,0,0,1,0,4
3829,1,1,1,0,1,4
3830,1,1,1,0,1,4
3831,4,0,0,0,0,4
3832,3,0,0,1,0,4
3833,1,1,1,0,1,4
3834,3,0,0,0,1,4
3835,4,0,0,0,0,4
3836,1,1,1,0,1,4
3837,1,1,1,1,0,4
3838,1,1,1,1,0,4
3839,1,1,1,0,1,4
3840,2,1,1,0,0,4
3841,1,1,1,0,1,4
3842,1,1,1,1,0,4
3843,1,1,1,0,1,4
3844,1,1,1,0,1,4
3845,4,0,0,0,0,4
3846,1,1,1,0,1,4
3847,2,1,1,0,0,4
3848,1,1,1,0,1,4
3849,1,1,1,0,1,4
3850,1,1,1,0,1,4
3851,1,1,1,1,0,4
3852,1,1,1,0,1,4
3853,1,1,1,0,1,4
3854,1,1,1,0,1,4
3855,1,1,1,1,0,4
3856,1,1,1,0,1,4
3857,1,1,1,0,1,4
3858,2,0,0,0,2,4
3859,1,1,1,0,1,4
3860,1,1,1,0,1,4
3861,1,1,1,0,1,4
3862,2,1,1,0,0,4
3863,2,1,1,0,0,4
3864,1,1,1,0,1,4
3865,1,1,1,0,1,4
3866,1,1,1,0,1,4
3867,1,1,1,0,1,4
3868,1,1,1,0,1,4
3869,1,1,1,0,1,4
3870,1,1,1,0,1,4
3871,1,1,1,0,1,4
3872,1,1,1,0,1,4
3873,1,1,1,0,1,4
3874,1,1,1,0,1,4
3875,2,0,0,2,0,4
3876,1,1,1,0,1,4
3877,1,1,1,0,1,4
3878,1,1,1,1,0,4
3879,1,1,1,0,1,4
3880,1,1,1,0,1,4
3881,1,1,1,0,1,4
3882,1,1,1,0,1,4
3883,1,1,1,0,1,4
3884,1,1,1,0,1,4
3885,1,1,1,0,1,4
3886,1,1,1,0,1,4
3887,1,1,1,0,1,4
3888,2,1,1,0,0,4
3889,1,1,1,0,1,4
3890,1,1,1,0,1,4
3891,1,1,1,0,1,4
3892,1,0,0,3,0,4
3893,3,0,0,0,1,4
3894,2,0,0,2,0,4
3895,1,1,1,0,1,4
3896,1,1,1,0,1,4
3897,1,1,1,0,1,4
3898,2,1,1,0,0,4
3899,1,1,1,0,1,4
3900,1,1,1,0,1,4
3901,1,1,1,0,1,4
3902,1,1,1,0,1,4
3903,1,1,1,1,0,4
3904,1,1,1,0,1,4
3905,1,1,1,0,1,4
3906,1,1,1,0,1,4
3907,2,0,0,1,1,4
3908,1,1,1,0,1,4
3909,1,0,1,1,1,4
3910,3,0,0,0,1,4
3911,1,1,1,0,1,4
3912,1,1,1,0,1,4
3913,1,1,1,0,1,4
3914,1,1,1,0,1,4
3915,1,1,1,1,0,4
3916,1,1,1,0,1,4
3917,2,0,0,2,0,4
3918,2,1,1,0,0,4
3919,1,1,1,0,1,4
3920,1,1,1,0,1,4
3921,1,1,1,0,1,4
3922,1,0,0,3,0,4
3923,1,1,1,0,1,4
3924,2,0,0,1,1,4
3925,1,1,1,0,1,4
3926,1,1,1,1,0,4
3927,1,1,1,0,1,4
3928,3,0,0,0,1,4
3929,2,1,1,0,0,4
3930,2,1,0,1,0,4
3931,1,1,1,0,1,4
3932,1,1,1,1,0,4
3933,1,1,1,0,1,4
3934,1,1,1,0,1,4
3935,1,1,1,0,1,4
3936,3,1,0,0,0,4
3937,2,1,1,0,0,4
3938,1,1,1,0,1,4
3939,1,1,1,0,1,4
3940,1,1,1,0,1,4
3941,1,1,1,0,1,4
3942,1,1,1,0,1,4
3943,1,1,1,0,1,4
3944,2,1,1,0,0,4
3945,2,1,1,0,0,4
3946,1,1,1,0,1,4
3947,2,1,1,0,0,4
3948,1,1,1,0,1,4
3949,1,1,1,0,1,4
3950,1,1,1,1,0,4
3951,1,1,1,0,1,4
3952,1,1,2,0,0,4
3953,2,1,0,0,1,4
3954,3,0,0,1,0,4
3955,1,1,1,0,1,4
3956,1,1,1,0,1,4
3957,1,1,1,0,1,4
3958,1,1,1,1,0,4
3959,0,2,0,0,2,4
3960,1,1,1,1,0,4
3961,1,1,1,0,1,4
3962,1,1,1,0,1,4
3963,1,1,1,0,1,4
3964,0,1,1,0,2,4
3965,1,1,1,1,0,4
3966,1,1,1,0,1,4
3967,1,1,1,0,1,4
3968,1,1,0,1,1,4
3969,1,1,1,0,1,4
3970,1,1,1,1,0,4
3971,1,1,0,1,1,4
3972,1,1,1,0,1,4
3973,1,1,1,0,1,4
3974,1,1,1,0,1,4
3975,1,1,1,1,0,4
3976,1,1,1,0,1,4
3977,1,1,0,1,1,4
3978,1,1,1,0,1,4
3979,1,1,1,0,1,4
3980,1,1,1,1,0,4
3981,1,1,1,0,1,4
3982,1,1,1,1,0,4
3983,2,1,1,0,0,4
3984,1,1,0,0,2,4
3985,1,1,1,0,1,4
3986,1,1,1,0,1,4
3987,0,1,1,1,1,4
3988,1,1,1,0,1,4
3989,0,1,1,0,2,4
3990,1,1,1,0,1,4
3991,0,2,2,0,0,4
3992,1,1,1,0,1,4
3993,1,1,1,0,1,4
3994,1,1,1,0,1,4
3995,1,1,1,0,1,4
3996,1,1,1,0,1,4
3997,1,1,1,0,1,4
3998,1,1,1,0,1,4
3999,1,1,1,0,1,4
4000,1,1,1,1,0,4
4001,1,1,0,1,1,4
4002,1,1,1,0,1,4
4003,1,1,1,0,1,4
4004,1,1,1,0,1,4
4005,1,1,1,1,0,4
4006,1,1,1,0,1,4
4007,1,1,1,0,1,4
4008,1,1,1,0,1,4
4009,1,1,1,0,1,4
4010,1,1,1,0,1,4
4011,1,1,1,0,1,4
4012,0,2,1,0,1,4
4013,1,1,1,0,1,4
4014,1,1,1,0,1,4
4015,1,1,1,0,1,4
4016,1,1,1,0,1,4
4017,1,1,1,0,1,4
4018,1,1,1,1,0,4
4019,1,1,1,0,1,4
4020,0,1,2,0,1,4
4021,1,1,1,0,1,4
4022,0,1,1,1,1,4
4023,1,1,1,1,0,4
4024,1,1,1,1,0,4
4025,1,1,1,0,1,4
4026,1,1,1,1,0,4
4027,1,1,1,0,1,4
4028,1,1,1,0,1,4
4029,1,1,1,0,1,4
4030,1,1,1,0,1,4
4031,1,1,1,0,1,4
4032,1,1,1,0,1,4
4033,1,1,1,0,1,4
4034,1,1,1,0,1,4
4035,0,2,1,1,0,4
4036,1,1,1,0,1,4
4037,1,2,1,0,0,4
4038,1,1,1,0,1,4
4039,1,1,1,0,1,4
4040,1,1,1,0,1,4
4041,0,1,1,1,1,4
4042,1,1,1,1,0,4
4043,1,1,0,1,1,4
4044,0,2,1,0,1,4
4045,0,3,1,0,0,4
4046,0,3,1,0,0,4
4047,1,1,1,0,1,4
4048,1,1,1,0,1,4
4049,1,1,1,0,1,4
4050,1,1,0,1,1,4
4051,1,2,1,0,0,4
4052,1,1,1,1,0,4
4053,1,1,1,0,1,4
4054,1,1,1,0,1,4
4055,0,1,2,0,1,4
4056,1,1,0,1,1,4
4057,0,2,1,0,1,4
4058,1,1,0,1,1,4
4059,1,1,0,1,1,4
4060,0,1,1,1,1,4
4061,1,1,1,1,0,4
4062,1,1,1,0,1,4
4063,1,1,1,0,1,4
4064,1,1,1,0,1,4
4065,1,1,1,0,1,4
4066,1,1,1,0,1,4
4067,1,1,1,0,1,4
4068,1,1,1,0,1,4
4069,1,1,1,0,1,4
4070,1,1,1,0,1,4
4071,1,1,1,0,1,4
4072,1,1,0,1,1,4
4073,1,1,1,1,0,4
4074,1,1,1,0,1,4
4075,1,1,0,1,1,4
4076,1,1,1,0,1,4
4077,1,1,1,0,1,4
4078,1,1,1,0,1,4
4079,1,1,0,1,1,4
4080,1,1,1,0,1,4
4081,1,1,1,1,0,4
4082,1,1,1,0,1,4
4083,1,1,1,0,1,4
4084,1,1,1,0,1,4
4085,1,1,1,0,1,4
4086,1,1,1,0,1,4
4087,1,1,1,0,1,4
4088,1,1,1,0,1,4
4089,0,1,1,0,2,4
4090,1,1,1,0,1,4
4091,1,1,0,1,1,4
4092,1,1,1,0,1,4
4093,1,1,1,0,1,4
4094,1,1,1,0,1,4
4095,1,1,1,0,1,4
4096,1,1,1,1,0,4
4097,1,1,1,0,1,4
4098,1,1,1,0,1,4
4099,1,1,1,0,1,4
4100,1,1,1,0,1,4
4101,1,1,1,0,1,4
4102,1,1,1,0,1,4
4103,1,1,1,0,1,4
4104,1,1,1,0,1,4
4105,1,1,1,0,1,4
4106,1,1,1,0,1,4
4107,0,1,1,1,1,4
4108,1,1,1,1,0,4
4109,0,1,1,0,2,4
4110,1,1,1,1,0,4
4111,1,1,1,0,1,4
4112,1,1,1,1,0,4
4113,1,1,1,0,1,4
4114,1,1,1,0,1,4
4115,0,1,1,1,1,4
4116,1,1,1,0,1,4
4117,1,1,1,1,0,4
4118,1,1,1,1,0,4
4119,1,1,1,0,1,4
4120,1,1,1,0,1,4
4121,1,1,1,0,1,4
4122,1,1,1,0,1,4
4123,1,1,1,0,1,4
4124,1,1,1,0,1,4
4125,1,1,1,0,1,4
4126,1,1,1,0,1,4
4127,1,1,1,0,1,4
4128,1,1,1,0,1,4
4129,1,1,1,0,1,4
4130,1,1,1,0,1,4
4131,1,1,1,0,1,4
4132,1,0,0,3,0,4
4133,1,1,1,0,1,4
4134,0,2,1,0,1,4
4135,1,1,1,0,1,4
4136,1,1,1,0,1,4
4137,1,1,1,0,1,4
4138,1,1,1,0,1,4
4139,1,1,1,0,1,4
4140,1,1,1,0,1,4
4141,1,1,1,0,1,4
4142,1,1,1,0,1,4
4143,1,1,1,0,1,4
4144,0,2,2,0,0,4
4145,1,1,1,0,1,4
4146,1,1,1,0,1,4
4147,0,2,1,0,1,4
4148,1,2,1,0,0,4
4149,1,1,1,0,1,4
4150,0,1,1,1,1,4
4151,1,1,1,1,0,4
4152,1,1,1,1,0,4
4153,1,1,1,0,1,4
4154,1,1,1,0,1,4
4155,1,1,1,0,1,4
4156,1,1,1,0,1,4
4157,1,1,1,0,1,4
4158,0,1,2,0,1,4
4159,1,0,3,0,0,4
4160,1,1,1,0,1,4
4161,1,0,1,1,1,4
4162,1,1,1,0,1,4
4163,1,1,1,0,1,4
4164,1,1,1,0,1,4
4165,1,1,1,0,1,4
4166,0,1,1,1,1,4
4167,1,1,1,0,1,4
4168,1,1,1,1,0,4
4169,1,1,1,0,1,4
4170,1,1,1,0,1,4
4171,1,1,1,0,1,4
4172,1,1,1,0,1,4
4173,1,1,1,0,1,4
4174,1,1,1,0,1,4
4175,2,1,1,0,0,4
4176,1,0,1,1,1,4
4177,1,1,1,0,1,4
4178,1,1,1,0,1,4
4179,1,1,0,1,1,4
4180,1,1,0,1,1,4
4181,1,1,1,0,1,4
4182,1,1,1,0,1,4
