Anbu_Final_Aurli_proteins
1920
2688
3326
6741
8121
10086
10377
12433
28353
30603
30698
31221
31365
32285
32448
33771
35882
40284
40598
44130
45410
115261
120302
130447
133320
134884
135559
138133
139193
150575
47530
138097
43100
133563
41936
137494
9101
136102
139090
142050
48769
117705
134796
138096
141756
41087
136449
6147
30572
118833
145412
137061
2292
31453
120472
45384
45758
39130
47017
42591
41599
139512
132321
34506
43362
138691
46905
34641
48761
8277
114817
34710
11391
129308
8775
134790
138486
32446
146744
148767
36027
10567
36242
113657
82471
135734
135571
140273
115127
139592
43122
3257
43285
143329
48758
131002
39846
37415
45908
141976
47925
32531
45065
116212
137549
139850
137756
118565
135624
137700
140729
44393
46946
142745
11099
138835
39913
36772
3199
46638
140231
36026
138595
11010
145251
42231
33582
141819
139981
47782
48230
43315
47263
40897
30253
149315
38696
40719
151103
4266
141323
3015
140861
7361
28922
8120
137189
119951
113956
36654
6643
37493
331
144078
46070
33587
39989
137810
6700
11269
9632
31057
10067
34611
3252
116877
2177
142632
39218
147456
147111
3351
44448
41874
120641
138078
151034
1695
8381
2576
36049
47611
38882
5566
37361
29756
131474
43311
134173
8639
115664
5019
46153
40227
147584
31675
4312
7748
148358
34847
139563
130032
148186
36113
140013
34921
40309
39003
136713
47867
12920
44347
2882
143176
