MMETSP_ID,JGI_ID
A0A6S8FRG0,119545
A0A6S8EXN2,11960
A0A6S8B9J1,119619
A0A6S8DGN0,11964
A0A6S7ZIX7,119640
A0A6S8GCF3,119642
A0A6S8DK56,119664
A0A6S8DB17,119782
A0A6S8B4M8,119810
A0A6S8BMR0,119820
A0A6S8A3R0,119880
A0A6S8FAH1,119951
A0A6S8EWE2,120109
A0A6S8DAM6,120112
A0A6S8B0H6,120126
A0A6S7ZPU6,120262
A0A6S8D321,120311
A0A6S8GCU9,120334
A0A6S8GDB2,120406
A0A6S8DYB4,120414
A0A6S8AGB1,120443
A0A6S8C061,120461
A0A6S8FCT9,120462
A0A6S8EN82,120530
A0A6S8D530,120536
A0A6S8BC51,12067
A0A6S8BTD6,12067
A0A6S7ZGU4,120806
A0A6S8BPU8,120981
A0A6S8F3X7,12104
A0A6S7ZQI5,121490
A0A6S7ZTZ8,121543
A0A6S7ZV93,121695
A0A6S8E824,12195
A0A6S8CPM9,122551
A0A6S8FA36,122619
A0A6S8EQC5,122650
A0A6S8ANL5,12282
A0A6S7ZRS3,123094
A0A6S8FBP6,123422
A0A6S8AIC3,123630
A0A6S8AWH6,123799
A0A6S8CKA3,123824
A0A6S8F0P1,12401
A0A6S8FB44,124035
A0A6S8CMA4,124376
A0A6S8E5W4,12458
A0A6S8AJQ4,124602
A0A6S8C523,124817
A0A6S8G486,12485
A0A6S7ZYC6,124985
A0A6S7ZSB3,125257
A0A6S8D5L6,125370
A0A6S8F1W9,125465
A0A6S8BLG8,125563
A0A6S8DQ05,12559
A0A6S8DQG1,12559
A0A6S8E6D6,12575
A0A6S7ZWW7,12589
A0A6S8CV84,126007
A0A6S8ASH9,126030
A0A6S7ZSP5,126114
A0A6S8C8M0,126174
A0A6S8BQY7,126447
A0A6S8BQK2,126684
A0A6S8BJ88,126688
A0A6S8D4U0,127107
A0A6S8AVE5,127164
A0A6S8AJV5,127471
A0A6S8BJZ6,127527
A0A6S8C971,127645
A0A6S8AZ18,128073
A0A6S8BS64,128082
A0A6S8FUE4,128135
A0A6S7ZP76,128296
A0A6S8BN43,1283
A0A6S8F3J4,128408
A0A6S8BT88,128456
A0A6S8CQZ9,128793
A0A6S8BS36,128898
A0A6S8CLW5,12920
A0A6S8BMA0,129280
A0A6S7ZF54,129308
A0A6S8B679,129340
A0A6S8A2B6,129410
A0A6S8B3Z0,129427
A0A6S8FWK7,129437
A0A6S8AK33,129482
A0A6S8FM55,129547
A0A6S8G599,129690
A0A6S8AQT6,129693
A0A6S7ZY12,129955
A0A6S8AIC5,130100
A0A6S8G0P4,130541
A0A6S8DPF0,13057
A0A6S8DMK9,130886
A0A6S8CSH3,131027
A0A6S8DPG7,131027
A0A6S8AEM3,131064
A0A6S8APT9,131499
A0A6S8BDV9,131544
A0A6S8B2G1,131704
A0A6S8EAB1,131908
A0A6S7ZSJ0,132136
A0A6S8F5F2,132147
A0A6S8BNE9,132348
A0A6S8E167,132440
A0A6S8EJ32,132537
A0A6S8DVS1,132553
A0A6S8CTP6,132853
A0A6S7ZTK4,133302
A0A6S7ZUV8,133454
A0A6S8EJE3,133460
A0A6S8FS17,13367
A0A6S8D4M6,1337
A0A6S8G547,133744
A0A6S8A8D0,133798
A0A6S8EGH8,133929
A0A6S8B5I5,13396
A0A6S8DCL3,133990
A0A6S8DFE0,13412
A0A6S8EYM7,134269
A0A6S8EZT2,134269
A0A6S8FV04,13432
A0A6S8FYI4,13432
A0A6S8EN27,134884
A0A6S8AYM2,135071
A0A6S7ZK78,135420
A0A6S8GG50,13557
A0A6S8E817,135782
A0A6S8BBL6,136037
A0A6S8EHZ7,136038
A0A6S8B1Y7,136048
A0A6S8A7D0,136054
A0A6S8B8R9,136055
A0A6S7ZUR5,136083
A0A6S8AD50,136084
A0A6S8AJT6,136085
A0A6S8B0Q8,136093
A0A6S8A8C6,136096
A0A6S8DI84,136098
A0A6S8F965,136102
A0A6S8C988,136108
A0A6S8BRJ6,136109
A0A6S8AF43,136136
A0A6S8G1G2,136137
A0A6S8BBK5,136161
A0A6S8C6X5,136162
A0A6S8CCW2,136164
A0A6S8E3N8,136181
A0A6S8BND1,136192
A0A6S8CER4,136196
A0A6S8C9S4,136197
A0A6S8A376,136201
A0A6S8FM24,136216
A0A6S8CU64,136217
A0A6S8FAW8,136219
A0A6S8FAD6,136220
A0A6S8DVQ6,136226
A0A6S8CXY0,136227
A0A6S8D9M7,136238
A0A6S8FIB4,136248
A0A6S8G980,13625
A0A6S8B0N7,136257
A0A6S8EI75,136262
A0A6S8BTB0,136268
A0A6S8FUF0,136278
A0A6S7ZJJ4,136281
A0A6S8B2S0,136281
A0A6S8DUX2,136286
A0A6S8D7H6,136299
A0A6S8FES1,136301
A0A6S8BSZ6,136303
A0A6S8EDH4,136308
A0A6S8ANE7,136325
A0A6S8C6Z6,136342
A0A6S8A402,136358
A0A6S8BTN7,136360
A0A6S8BS30,136361
A0A6S8BUE4,136376
A0A6S8DL82,136379
A0A6S8CKR1,136398
A0A6S8E484,136425
A0A6S8C9C4,136427
A0A6S8AQZ9,136428
A0A6S8A2Q1,136434
A0A6S8F2R0,136440
A0A6S8D8Y7,136450
A0A6S8ACA4,136459
A0A6S8GCC2,136463
A0A6S8FE04,136473
A0A6S8EM18,136475
A0A6S8F6N0,136478
A0A6S7ZJE5,136481
A0A6S8GDG6,136483
A0A6S8AVW4,136484
A0A6S8D4D5,136485
A0A6S8CX26,136488
A0A6S8C793,136489
A0A6S7ZX82,136496
A0A6S8EM66,136501
A0A6S8C202,136502
A0A6S8GCJ9,136507
A0A6S7ZUK9,136510
A0A6S8ABP4,136511
A0A6S8DEK9,136514
A0A6S8BU01,136515
A0A6S8FX57,136538
A0A6S8A3K2,136539
A0A6S8BG81,136541
A0A6S8B2D9,136542
A0A6S8EA63,136568
A0A6S8EK31,136571
A0A6S7ZIR2,136572
A0A6S8BZ98,136573
A0A6S8EHJ0,136584
A0A6S8EK39,136585
A0A6S8ENJ8,136586
A0A6S8BMY0,136598
A0A6S8BII4,136600
A0A6S8EGA9,136606
A0A6S8ESX9,136606
A0A6S8D3L5,136607
A0A6S8AGF2,136608
A0A6S8B2P5,136627
A0A6S7ZTZ4,136646
A0A6S8ANV9,136647
A0A6S8DB09,136649
A0A6S8B678,136651
A0A6S7ZTP0,136652
A0A6S8B2X1,136654
A0A6S8ALN0,136674
A0A6S8FF06,136697
A0A6S8E4U6,136702
A0A6S8E8K9,136715
A0A6S8D1W2,136733
A0A6S7ZR91,136736
A0A6S8AFW2,136746
A0A6S8B0E0,136750
A0A6S8EJA8,136763
A0A6S8D9F0,136765
A0A6S8AK04,136766
A0A6S8G424,136796
A0A6S8E9I5,136804
A0A6S8B8B9,136817
A0A6S8BLS0,136829
A0A6S8E2L9,136833
A0A6S8E269,136835
Q1KNJ1,136839
A0A6S8AX00,136855
A0A6S8GFV5,136858
A0A6S8FYH8,136860
A0A6S8BMC8,136861
A0A6S7ZMX4,136865
A0A6S8DHW1,136877
A0A6S8FEY1,136880
A0A6S8FFY9,136883
A0A6S8ERT8,136889
A0A6S7ZIE5,136920
A0A6S8DAR2,136925
A0A6S8AE00,136927
A0A6S8D276,136940
A0A6S8EZA4,136953
A0A6S8F2D5,136964
A0A6S8D1E3,136965
A0A6S8F612,136966
A0A6S8EVF2,136967
A0A6S8FWS1,136971
A0A6S8CY60,136983
A0A6S8F977,136987
A0A6S8F5N2,136990
A0A6S8FM05,137017
A0A6S8GC28,137024
A0A6S8AUC7,137046
A0A6S8DXS5,137048
A0A6S8A0X4,137061
A0A6S8AAA2,137064
A0A6S7ZPV0,137066
A0A6S8CCZ2,137081
A0A6S8GTT6,137093
A0A6S7ZUM3,137104
A0A6S8E0K0,137113
A0A6S8CW18,137115
A0A6S8EVL1,137125
A0A6S8A8B8,137140
A0A6S7ZXJ9,137157
A0A6S8AIJ9,137173
A0A6S8EF95,137175
A0A6S8FBY9,137176
A0A6S8BX23,137181
A0A6S8ESX0,137186
A0A6S8DXI7,137187
A0A6S7ZSA2,137189
A0A6S8EJY7,137197
A0A6S8B350,137204
A0A6S8FWH2,137206
A0A6S8BEV7,137208
A0A6S8FTQ2,137209
A0A6S8A6L8,137211
A0A6S8FXA0,137218
A0A6S8B8D6,137219
A0A6S8CBZ2,137221
A0A6S8E7C0,137229
A0A6S8CW22,137234
A0A6S8APS1,137243
A0A6S8CI95,137245
A0A6S8A799,137262
A0A6S8ARQ8,137263
A0A6S8GJ12,137277
A0A6S8B0R2,137280
A0A6S8DWA7,137288
A0A6S8BZ08,137289
A0A6S8C216,137289
A0A6S7ZHI7,137294
A0A6S8AJU2,137308
A0A6S8ECQ8,137309
A0A6S8DRB9,137312
A0A6S8AMB1,137323
A0A6S8AA02,137326
A0A6S7ZRD2,137354
A0A6S8A6Z3,137356
A0A6S7ZHK9,137358
A0A6S8EE68,137364
A0A6S8E587,137366
A0A6S8D7J8,137368
A0A6S8E154,137377
